experiment,participant_id,trial_id,trial_order,phase_id,prime,target,response,response_correct,accuracy,rt,age,gender,hand
semantic_priming,5,exp1_t2,2,judgment,ulivo,acore,1.0,0,0.0,0.476775,24,F,right
semantic_priming,21,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.772685,24,F,right
semantic_priming,67,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.78627,24,M,right
semantic_priming,17,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.68104,23,F,right
semantic_priming,63,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,1.20029,22,F,right
semantic_priming,15,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.603155,23,F,right
semantic_priming,75,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.550205,24,F,right
semantic_priming,46,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.605075,22,F,right
semantic_priming,42,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.60132,23,M,right
semantic_priming,72,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.835,20,F,right
semantic_priming,27,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.708035,22,F,right
semantic_priming,45,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.696525,21,F,right
semantic_priming,57,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.684,29,F,right
semantic_priming,73,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.61636,21,F,left
semantic_priming,43,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.613635,22,M,right
semantic_priming,13,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.60204,20,M,right
semantic_priming,28,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.615,24,F,right
semantic_priming,38,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,1.050035,20,F,right
semantic_priming,19,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.746675,20,F,right
semantic_priming,14,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.65,21,M,right
semantic_priming,65,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,1.13377,35,F,right
semantic_priming,11,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,1.32748,23,M,right
semantic_priming,49,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.60034,21,F,right
