ID;condition;text;text2;age;gender;hand;RTs;resp
4;B;fastidio;naso;23;f;dx;2347,1;naso
4;B;lussuria;prateria;23;f;dx;1178,6;prateria
4;B;annoiato;mestolo;23;f;dx;1151,5;mestolo
4;B;finestra;triste;23;f;dx;1046,2;finestra
4;B;dentista;fiducioso;23;f;dx;1015;dentista
4;B;grave;caviglia;23;f;dx;899,1;caviglia
4;B;gomito;astio;23;f;dx;976,2;gomito
4;B;coltello;demonio;23;f;dx;954,2;coltello
4;B;caramella;melodia;23;f;dx;937,2;caramella
4;B;puzza;stufa;23;f;dx;801,7;stufa
4;B;caos;quaderno;23;f;dx;876,3;quaderno
4;B;deforme;tronco;23;f;dx;1346,3;tronco
4;B;sedile;agile;23;f;dx;878,3;sedile
4;B;lavare;attivare;23;f;dx;1344,7;lavare
4;B;facile;morbido;23;f;dx;2003,6;morbido
4;B;abito;solenne;23;f;dx;2703,7;abito
4;B;cavallo;arte;23;f;dx;641,1;cavallo
4;B;elefante;innocente;23;f;dx;1256,8;elefante
4;B;intimo;mistico;23;f;dx;1591,9;intimo
4;B;vetro;giustizia;23;f;dx;805,4;vetro
4;B;assediato;ferito;23;f;dx;2987,6;ferito
4;B;crepuscolo;orologio;23;f;dx;1266,1;orologio
4;B;febbre;pino;23;f;dx;950,1;pino
4;B;magnifico;zanzara;23;f;dx;2081,5;zanzara
4;B;montagna;codardo;23;f;dx;1227;montagna
4;B;elegante;felpa;23;f;dx;1057,4;felpa
4;B;scrivania;pensieroso;23;f;dx;1059,4;scrivania
4;B;gattino;dettaglio;23;f;dx;1872,1;gattino
4;B;guarire;ospedale;23;f;dx;1011,7;ospedale
4;B;ricatto;schiaffo;23;f;dx;1452;schiaffo
4;B;appetitoso;pizza;23;f;dx;816,3;pizza
4;B;scarafaggio;orribile;23;f;dx;1224,1;scarafaggio
4;B;idiota;scimmia;23;f;dx;908,6;scimmia
4;B;buio;balcone;23;f;dx;843,2;balcone
4;B;mercato;vantaggio;23;f;dx;1907,1;mercato
4;B;occhio;inganno;23;f;dx;1582,1;occhio
4;B;camera;cortesia;23;f;dx;2222,7;camera
4;B;dormire;paradiso;23;f;dx;1304,4;dormire
4;B;ottimismo;profumo;23;f;dx;1061,8;profumo
4;B;opzione;giacca;23;f;dx;1176,6;giacca
4;B;corrotto;gonna;23;f;dx;1114,7;gonna
4;B;pugnale;fortuito;23;f;dx;2074,8;pugnale
4;B;piatto;insipido;23;f;dx;709,1;piatto
4;B;rasoio;stritolare;23;f;dx;1523,2;rasoio
4;B;veloce;vespa;23;f;dx;1216,4;vespa
4;B;poesia;penna;23;f;dx;1077,8;penna
4;B;infedele;sposa;23;f;dx;2832,1;sposa
4;B;pianta;saggio;23;f;dx;804,7;pianta
4;B;vittoria;ombrello;23;f;dx;901,5;ombrello
4;B;lenire;ferite;23;f;dx;2116,2;ferite
4;B;musica;violino;23;f;dx;969,7;violino
4;B;genere;cioccolato;23;f;dx;885,5;cioccolato
4;B;sfera;fase;23;f;dx;1266,2;sfera
4;B;dollaro;utile;23;f;dx;956;dollaro
4;B;grezzo;barile;23;f;dx;1385,8;barile
4;B;evidente;serbatoio;23;f;dx;1115,1;serbatoio
4;B;ulivo;ambizione;23;f;dx;1449,6;ulivo
4;B;specchio;spirito;23;f;dx;945,2;specchio
4;B;prete;devoto;23;f;dx;1456;prete
4;B;diavolo;prigione;23;f;dx;1183,6;prigione
4;B;fetido;calza;23;f;dx;1399,3;calza
4;B;farfalla;fantasia;23;f;dx;795,7;farfalla
4;B;disprezzo;sorriso;23;f;dx;846,4;sorriso
4;B;ispirato;geranio;23;f;dx;1214,2;geranio
4;B;aereo;allerta;23;f;dx;829;aereo
4;B;avventura;vacanza;23;f;dx;2477,3;vacanza
4;B;infuriato;forchetta;23;f;dx;844,1;forchetta
4;B;rancido;insalata;23;f;dx;655,3;insalata
4;B;bocca;riverente;23;f;dx;795,1;bocca
4;B;cane;cortese;23;f;dx;822,2;cane
4;B;poltrona;fiducia;23;f;dx;685,9;poltrona
4;B;pentola;mente;23;f;dx;854,1;pentola
4;B;latte;fetore;23;f;dx;2877,1;latte
4;B;intelletto;idrante;23;f;dx;1393;idrante
4;B;eccellenza;diamante;23;f;dx;1256,3;diamante
4;B;stanco;divano;23;f;dx;1138,2;divano
4;B;attico;modesto;23;f;dx;1312;attico
4;B;carcere;pena;23;f;dx;1755,9;carcere
4;B;gatto;spaventato;23;f;dx;709,7;gatto
4;B;asilo;motivo;23;f;dx;1202,8;asilo
4;B;frigido;forcina;23;f;dx;736,8;forcina
5;B;pugnale;fortuito;21;F;DX;1926;pugnale
5;B;freddo;cappotto;21;F;DX;1126,2;cappotto
5;B;grato;abbraccio;21;F;DX;917;abbraccio
5;B;estasi;sughero;21;F;DX;995,3;sughero
5;B;maglia;vincere;21;F;DX;1741,6;maglia
5;B;intelletto;idrante;21;F;DX;1355,4;idrante
5;B;camera;cortesia;21;F;DX;1958,9;camera
5;B;scarafaggio;orribile;21;F;DX;2271,8;scarafaggio
5;B;insolente;vasca;21;F;DX;1891,1;vasca
5;B;abito;solenne;21;F;DX;1172,3;abito
5;B;rasoio;stritolare;21;F;DX;1056,4;rasoio
5;B;infuriato;forchetta;21;F;DX;2995,8;forchetta
5;B;eccellenza;diamante;21;F;DX;1964,9;diamante
5;B;gatto;spaventato;21;F;DX;776,8;gatto
5;B;pianta;saggio;21;F;DX;2115,2;pianta
5;B;latte;fetore;21;F;DX;1374,3;latte
5;B;appetitoso;pizza;21;F;DX;1306,8;pizza
5;B;lavare;attivare;21;F;DX;1859,6;lavare
5;B;piatto;insipido;21;F;DX;1041,1;piatto
5;B;meraviglia;cornice;21;F;DX;1236,3;cornice
5;B;libreria;spazio;21;F;DX;2018,7;libreria
5;B;corrotto;gonna;21;F;DX;1558,8;gonna
5;B;laureato;dio;21;F;DX;2491;laureato
5;B;rancido;insalata;21;F;DX;2373,7;insalata
5;B;onore;vino;21;F;DX;1297,7;vino
5;B;gomito;astio;21;F;DX;2045,7;gomito
5;B;specchio;spirito;21;F;DX;2247,3;specchio
5;B;coltello;demonio;21;F;DX;2955,4;coltello
5;B;bocca;riverente;21;F;DX;973,1;bocca
5;B;poltrona;fiducia;21;F;DX;1038,7;poltrona
5;B;farfalla;fantasia;21;F;DX;1696,4;farfalla
5;B;causa;stomaco;21;F;DX;1247,9;stomaco
5;B;umano;morale;21;F;DX;1561,1;umano
5;B;bicicletta;passione;21;F;DX;1089,6;bicicletta
5;B;febbre;pino;21;F;DX;1561,1;pino
5;B;montagna;codardo;21;F;DX;1641,6;montagna
5;B;magnifico;zanzara;21;F;DX;1468,3;zanzara
5;B;evidente;serbatoio;21;F;DX;1329,3;serbatoio
5;B;grezzo;barile;21;F;DX;1761,6;barile
5;B;intimo;mistico;21;F;DX;2358,7;intimo
5;B;idiota;scimmia;21;F;DX;1444,5;scimmia
5;B;fastidio;naso;21;F;DX;1257,6;naso
5;B;ottimismo;profumo;21;F;DX;1319,7;profumo
5;B;orecchio;disturbare;21;F;DX;1540,4;orecchio
5;B;stanco;divano;21;F;DX;1087,9;divano
5;B;scrivania;pensieroso;21;F;DX;2274,9;scrivania
5;B;sedile;agile;21;F;DX;1524,5;sedile
5;B;crepuscolo;orologio;21;F;DX;1300,2;orologio
5;B;rosso;bicchiere;21;F;DX;1069,8;bicchiere
5;B;deforme;tronco;21;F;DX;2774,1;tronco
5;B;ricatto;schiaffo;21;F;DX;2510,1;schiaffo
5;B;puzza;stufa;21;F;DX;941;stufa
5;B;lussuria;prateria;21;F;DX;1307,6;prateria
5;B;musica;violino;21;F;DX;1516,7;violino
5;B;disprezzo;sorriso;21;F;DX;2934,1;sorriso
5;B;opzione;giacca;21;F;DX;2509,6;giacca
5;B;finestra;triste;21;F;DX;915,4;finestra
5;B;statua;audace;21;F;DX;1726,7;statua
5;B;dentista;fiducioso;21;F;DX;1545,6;dentista
5;B;assediato;ferito;21;F;DX;1176,4;ferito
