correct	correct_response	count_exp_sequence	leksikalnost	rec	response	response_time	trial_number	naziv_fajla	exp_title
1	1	212	rec	GLAVNOJ	1	544	19	subject-82.csv	PRIDEVI_B
1	1	213	rec	KONKRETNOM	1	974	27	subject-82.csv	PRIDEVI_B
1	3	214	pseudorec	TEZIVOG	3	873	123	subject-82.csv	PRIDEVI_B
1	3	215	pseudorec	BLANOJ	3	849	202	subject-82.csv	PRIDEVI_B
1	1	216	rec	DESNOJ	1	634	13	subject-82.csv	PRIDEVI_B
1	1	217	rec	MORSKOJ	1	881	40	subject-82.csv	PRIDEVI_B
1	1	218	rec	NEVINOG	1	837	50	subject-82.csv	PRIDEVI_B
0	3	219	pseudorec	VOLENOJ	1	975	205	subject-82.csv	PRIDEVI_B
1	1	220	rec	OGROMNOM	1	851	57	subject-82.csv	PRIDEVI_B
1	1	221	rec	NISKOG	1	685	53	subject-82.csv	PRIDEVI_B
1	3	222	pseudorec	PITOROM	3	1009	166	subject-82.csv	PRIDEVI_B
1	1	223	rec	MIRISNOG	1	815	38	subject-82.csv	PRIDEVI_B
1	1	224	rec	DUBOKOJ	1	763	16	subject-82.csv	PRIDEVI_B
1	1	225	rec	MASOVNOM	1	897	36	subject-82.csv	PRIDEVI_B
1	1	226	rec	ZNAČAJNOJ	1	566	106	subject-82.csv	PRIDEVI_B
1	1	227	rec	UMORNOG	1	1049	95	subject-82.csv	PRIDEVI_B
1	3	228	pseudorec	SOROKOG	3	1039	107	subject-82.csv	PRIDEVI_B
1	1	229	rec	OTVORENOJ	1	544	58	subject-82.csv	PRIDEVI_B
1	1	230	rec	LJUDSKOJ	1	584	34	subject-82.csv	PRIDEVI_B
1	3	231	pseudorec	PIKANOG	3	663	125	subject-82.csv	PRIDEVI_B
1	3	20	pseudorec	RIJENOG	3	556	120	subject-81.csv	PRIDEVI_A
1	1	21	rec	BURNOJ	1	449	6	subject-81.csv	PRIDEVI_A
1	1	22	rec	MIRISNOM	1	479	38	subject-81.csv	PRIDEVI_A
