participant_id,trial_id,stimulus,response1,response2,response3,response4,response5,response6,response7,response8,response9,response10,response11,response12,response13,response14,response15,response16,response17,response18,response19,response20
24,2,BATTLE,war,soldier,army,raf,fighting,world,illness,health,counseling,demons,courts,people,systems,axe,conflict,disagreement,rights,nato,punishment,loss
24,11,FOLD,paper,laundry,origami,art,creativity,letter,washing,cards,ladder,pram,bike,blankets,paper,defeat,artist,crafts,hobby,children,chores,housework
24,16,HEROIN,drug,addict,dealer,illegal,police,substance,misuse,arrest,streets,needle,smoking,charity,support,disease,counseling,weight,unhealthy,crime,punishment,prison
24,17,KIDNEY,body,stone,failure,humans,organs,internal,rupture,infection,failure,transplant,beans,steak,medicine,doctor,chef,unhealthy,diagnosis,urine,back,pain
24,20,MAGNIFY,glassess,glass,zoom,enhance,enlarge,widen,improve,quality,sight,vision,glass,plastic,handle,monocle,telescope,sky,stars,focus,read,reading
24,21,MONASTERY,royal,family,rich,important,influential,history,historic,king,queen,prince,princess,duke,duchess,soldier,footman,castle,grounds,horses,tea,crown
24,29,RADIO,music,podcast,audio,presenters,charts,news,audio,story,discussion,adverts,loud,volume,happy,car,interviews,celebrity,information,quiz,informative,
24,32,SPANK,bottom,bdsm,bondage,person,punishment,sexual,torture,pleasure,consent,fun,,,,,,,,,,
24,36,STOMACH,gut,eating,drinking,internal,organs,sickness,pregnancy,weight,ache,belly,doctor,gp,medicine,pharmacy,sickness,intestines,acid,full,hungry,appetite
24,37,TEXTILE,clothes,fabric,sewing,factory,sewing,leather,cotton,workers,fashion,garments,blankets,upholstery,alterations,patchwork,needle,knitting,tapestry,art,design,creativity
25,2,BATTLE,fight,fought,hill,castle,stone,cold,hot,green,grass,dew,halt,news,wales,wall,thick,stairs,guard,metal,spike,floor
25,11,FOLD,paper,fold,book,text,scribble,line,page,red,folder,line,drawing,paint,child,news,advert,sell,magazine,color,pencil,writing
25,16,HEROIN,drug,inject,white,teeth,sleep,needle,park,cold,lonely,addiction,mental,health,wrinkle,thin,gaunt,sad,depressed,homeless,single,dog
