participant_id,trial_id,stimulus,response1,response2,response3,response4,response5,response6,response7,response8,response9,response10,response11,response12,response13,response14,response15,response16,response17,response18,response19,response20
36,0,battle,fight,win,lose,conflict,clash,argue,combat,assault,castle,action,bombing,guns,armour,war,world war,hastings,spears,horses,struggle,blood
36,1,fold,napkin,paper,card,clothes,page,ironing,paper planes,,,,,,,,,,,,,
36,2,heroin,drugs,cocain,weed,hero,canabis,death,overdose,needles,hiv,ecstacy,mushrooms,lsd,hospital,withdrawel,homeless,suffer,addiction,steroids,program,street
36,3,kidney,stones,failure,disease,dyalisis,beans,donor,infection,water,flush,pains,transplant,renal,drinking,li,,,,,,
36,4,magnify,enlarge,make big,deepen,amplify,enhance,magnifying glass,microscop,clear,expand,science,entensified,blow up,maximise,increase,burn,sunlight burn,fire,look,see,eyes
36,5,monastery,monk,religous,abbey,castle,priory,boys,men,brother,prayers,robe,silence,hermit,lone,single,nun,community,vows,worship,god,abbot
36,6,radio,music,dj,transmit,record,wireless,waves,teleg,,,,,,,,,,,,,
36,7,spank,smack,erotic,slipper,belt,cane,wallop,wack,hit,clobber,cry,hide,hurt,pain,lash,punnish,punch,whip,thrash,swipe,slap
36,8,stomach,ache,pain,full,bloated,hungry,chubby,belly button,stretch marks,hurt,rub,,,,,,,,,,
36,9,textile,clothing,cloth,fabric,fibre,cotton,yarn,linen,washing,satin,material,design,weave,tread,thread,silk,recycle,woll,polyester,nylon,bags
37,0,farmyard,animals,cows,sheep,horses,barn,hay,cockerel,chickens,eggs,lay,collect,farmer,wife,muck,early,tractor,fields,harvest,gather,feed
37,1,fig,fruit,seeds,taste,puddi ng,dessert,breakfast,skin,peel,scoop,fruit salad,seasonal,,,,,,,,,
37,2,fragment,piece,broken,smash,tiny,breken,cut,sliver,glass,china,pottery,brush,sweep,careful,mind,,,,,,
37,3,groundhog,day,sad,repeat,boring,long,again,dark,deep,repeat,animal,long,frequent,always,daily,frequent,maybe,sometimes,,,
37,4,mosquito,bite,itch,annoying,insect,buzz,night,blood,sucker,angry,kill,pain,weep,dark,swell,red,scratch,swat,net,abroad,heat
37,5,napkin,table,dinner,lap,spill,clean,wipe,swan,design,setting,place,cutlery,wrap,pictures,cloth,paper,layers,fall,bib,bin,reusable
37,6,rhubarb,grow,garden,crumble,custard,crown,sweet,sour,cut,red,leaves,sugar,pie,stalk,tasty,icecream,cream,stew,chop,eat,yummy
37,7,spread,butter,knife,chocolate,jam,bread,cheese,cake mix,cream,filling,concrete,plaster,sandwich,toast,crackers,eagle,fingers,legs,,,
37,8,tower,high,round,princess,rapunzel,climb,stairs,bell,london,jewels,prisoner,tall,piza,leaning,famous,tourists,eiffel,blackpool,fun,dancing,ballroom
37,9,xylophone,tune,hit,bang,child,colours,coulourful,metal,stick,hammer,beat,musician,music,orchestra,play,notes,tuneful,tuneless,toddler,toy,instrument
38,0,alphabet,greek,letters,words,order,numbers,company,google,spell,,,,,,,,,,,,
38,1,cannonball,cannon,hard,heavy,weapon,attack,fort,pirates,ship,blast,boom,explode,shoot,round,dense,war,shoot,old,dangerous,scary,scary
38,2,coupon,voucher,discount,code,money,happy,delighted,percentage,savings,good,scan,free,freebie,winner,,,,,,,
38,3,cuddle,hug,care,loving,embrace,intimate,warmth,love,comfort,content,happy,,,,,,,,,,
38,4,enamel,tooth,decay,dentist,pain,protection,toothbrush,toothpaste,bathroom,ceramic,nerve,gum,brushing,sensitive,filling,hard,shiny,chew,brittle,wear,drill
38,5,gem,precious,shiny,valuable,expensive,diamond,sapphire,emerald,ruby,crystal,jewellery,jewel,gemstone,opal,topaz,brilliant,,,,,
38,6,mountain,peak,summit,climb,snow,avalanche,ice,rocks,sheer,cliff,high,clouds,dangerous,sherpa,oxygen,breathless,camping,cold,bitter,freezing,frozen
38,7,pasta,fusilli,penne,spaghetti,linguine,italian,food,basic,garlic,onion,tomato,cream,pesto,,,,,,,,
38,8,peacock,bird,beautiful,colourful,prideful,animal,avian,farm,,,,,,,,,,,,,
38,9,puke,sick,vomit,chunder,throwup,ill,poorly,unwell,bile,smelly,song,gip,gross,hungover,horrible,nasty,grim,unhygienic,food,alcohol,poison
39,0,diagram,axis,maths,science,data,plot,scatter,pie,line,bar,stacked,simple,presentable,lecture,lesson,book,summary,analyze,,,
39,1,doormat,shoes,hallway,home,clean,wipe,dirty,welcoming,hygienic,bristle,brown,,,,,,,,,,
39,2,gust,air,wind,fresh,wet,refreshing,annoying,cold,winter,autumn,unpleasant,wind chimes,noisy,howling,mess,damage,nature,force,energy,,
39,3,kitchen,home,cook,food,appliances,worktop,marble,granite,laminate,mdf,units,flooring,tiling,dishwasher,hob,oven,freezer,plates,cutlery,coffee,tea
39,4,lease,car,finance,flat,home,rent,landlord,arrears,debt,mortgage,freehold,expens,,,,,,,,,
39,5,oak,tree,furniture,table,brown,floor,forest,wood,nature,big,strong,beautiful,deluxe,axe,chainsaw,deforestation,sad,wildlife,,,
39,6,slaughter,animal,farm,cow,pig,lamb,scream,sadness,blood,murder,butcher,cruel,avoidable,room,sinister,evil,,,,,
39,7,spokesperson,ceo,meetings,interview,speech,audience,articulate,elequent,charismatic,talkative,passionate,presentable,likeable,smart,charming,suave,smart,quick,composed,sophisticated,confident
39,8,sprain,injury,pain,ice,bandage,,,,,,,,,,,,,,,,
39,9,tortoise,slow,small,friendly,cute,swim,walk,shell,defence,harmless,beach,sea,ocean,crawl,timid,scared,simple,round,reptile,shield,
40,0,battle,war,fight,guns,swords,field,fight,army,leigon,hastings,shield,armour,horses,general,soldiers,formation,siege,knights,kings,queens,castle
40,1,fold,paper,clothes,laundry,origami,half,quarter,protein,bend,crease,paper,,,,,,,,,,
40,2,heroin,drug,opioid,needle,pain,addiction,recovery,sober,addict,junkie,brown,blood,withdrawl,methadone,rehab,,,,,,
