participant_id,experiment,source_file,n_trials,n_complete_association_trials,text_n_chars,age,gender,nationality,first_language,occupation,stem_background
cfm_v6_155921172809326d76bcaa9c415e753267bb8cc43d_s,stella2026_formamentis_data,cfm_v6_155921172809326d76bcaa9c415e753267bb8cc43d_s.csv,10,10,3473,46,female,uk,english,science writer,3
cfm_v6_15592119070a650f455c9d2d0fad999de5482d2d2d_s,stella2026_formamentis_data,cfm_v6_15592119070a650f455c9d2d0fad999de5482d2d2d_s.csv,10,10,3478,55,female,british european,bilingual english spanish,Consultant (engineering skills),3
cfm_v6_15592122957f3312ff23953409dd744f41b79d1fba_s,stella2026_formamentis_data,cfm_v6_15592122957f3312ff23953409dd744f41b79d1fba_s.csv,10,10,3475,27,female,british,english,Science Communicator,3
cfm_v6_15592124310c4fb13aa0960a9ec1a6b474df15d9b2_s,stella2026_formamentis_data,cfm_v6_15592124310c4fb13aa0960a9ec1a6b474df15d9b2_s.csv,10,9,3466,29,female,uk,british,education programme developer,3
cfm_v6_15592126059b7e5424ce5b6c0c73c5603a17d0ec0d_s,stella2026_formamentis_data,cfm_v6_15592126059b7e5424ce5b6c0c73c5603a17d0ec0d_s.csv,10,10,3436,45,female,american,english,author/marine biologist/mum,3
cfm_v6_1559212644a3c728bfdb64f1e8ec6a4b96ccb59569_s,stella2026_formamentis_data,cfm_v6_1559212644a3c728bfdb64f1e8ec6a4b96ccb59569_s.csv,10,10,3448,30,female,british,english,Product Manager,3
cfm_v6_15592130557c57cb5acf8dd3fc7a273370ab6d0b81_s,stella2026_formamentis_data,cfm_v6_15592130557c57cb5acf8dd3fc7a273370ab6d0b81_s.csv,10,10,3475,26,male,indian,hindi,Outreach Manager,3
cfm_v6_1559213437e7c79f088bed2a15bd89b003c17a468c_s,stella2026_formamentis_data,cfm_v6_1559213437e7c79f088bed2a15bd89b003c17a468c_s.csv,10,9,3441,31,female,spanish,spanish,Science Communicator at the Natural History Museum,3
cfm_v6_1559213638d486d49ffc621367f20e64bc54028ced_s,stella2026_formamentis_data,cfm_v6_1559213638d486d49ffc621367f20e64bc54028ced_s.csv,10,8,3455,26,female,british,english,phd student,2
cfm_v6_15592142110439a8e411f7bf688b640c25521831ea_s,stella2026_formamentis_data,cfm_v6_15592142110439a8e411f7bf688b640c25521831ea_s.csv,10,8,3503,44,female,portuguese,portuguese,faculty,3
