status,time_taken,age,num_approvals,num_rejections,prolific_score,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First Language,First language,Handedness,Highest education level completed,Nationality,Sex,Student Status,Were you raised monolingual?
APPROVED,995.769,35,192,1,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,2129.507,27,475,4,99,Luxembourg,United Kingdom,Part-Time,I only know English,English,,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,Yes,I was raised with my native language only
APPROVED,1262.868,25,193,0,100,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,,Right-handed,High school diploma/A-levels,United Kingdom,Male,No,I was raised with my native language only
APPROVED,1905.315,43,104,0,100,Pakistan,United Kingdom,Part-Time,I know one other language in addition to English,English,,Right-handed,Technical/community college,United Kingdom,Male,No,I was raised with my native language only
APPROVED,1935.177,36,23,0,100,Ireland,United Kingdom,Full-Time,I know one other language in addition to English,English,,Right-handed,Undergraduate degree (BA/BSc/other),Ireland,Female,No,I was raised with my native language only
APPROVED,1176.348,29,147,5,97,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,Yes,I was raised with my native language only
APPROVED,3925.744,33,10,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,DATA EXPIRED,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,970.236,35,12,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
RETURNED,69631.358138,26,225,0,100,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
APPROVED,1172.9,34,142,2,99,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1236.721,24,102,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
APPROVED,2278.44,30,77,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
TIMED-OUT,69768.551921,20,15,0,100,United Kingdom,United Kingdom,Other,I only know English,DATA EXPIRED,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
APPROVED,1510.539,28,10,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,4720.859,19,56,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,DATA EXPIRED,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
APPROVED,1873.788,27,193,0,100,Ireland,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),Ireland,Male,No,I was raised with my native language only
APPROVED,2220.069,36,104,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
APPROVED,2275.994,20,189,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,Yes,I was raised with my native language only
APPROVED,1605.736,31,37,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,DATA EXPIRED,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1818.835,32,101,2,99,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Doctorate degree (PhD/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1438.392,39,112,3,98,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
APPROVED,1813.837,49,143,0,100,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,,Left-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
APPROVED,1436.331,36,34,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,DATA EXPIRED,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,2620.599,38,89,1,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,,Right-handed,Technical/community college,United Kingdom,Female,Yes,I was raised with my native language only
APPROVED,1290.855,43,854,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1346.905,24,205,0,100,United Kingdom,United Kingdom,Full-Time,I know one other language in addition to English,English,,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Male,No,I was raised with my native language only
APPROVED,1439.816,39,19,1,99,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
APPROVED,1529.825,37,43,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,DATA EXPIRED,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1752.903,21,259,6,97,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
APPROVED,1080.657,24,18,0,100,United States,United States,,I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United States,Female,Yes,I was raised with my native language only
APPROVED,1635.825,26,74,4,95,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,2665.438,47,59,0,100,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,DATA EXPIRED,English,Ambidextrous,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
APPROVED,1659.238,28,484,4,99,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1650.757,47,367,7,98,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Ambidextrous,Secondary education (e.g. GED/GCSE),United Kingdom,Male,No,I was raised with my native language only
APPROVED,1325.91,50,17,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,DATA EXPIRED,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Male,No,I was raised with my native language only
APPROVED,1593.954,44,195,1,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,High school diploma/A-levels,United Kingdom,Male,No,I was raised with my native language only
APPROVED,1833.646,46,48,0,100,United Kingdom,United Kingdom,Other,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,Yes,I was raised with my native language only
APPROVED,1748.356,28,96,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Male,No,I was raised with my native language only
APPROVED,1834.092,22,84,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,DATA EXPIRED,English,Right-handed,High school diploma/A-levels,United Kingdom,Male,No,I was raised with my native language only
APPROVED,1120.019,28,17,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,DATA EXPIRED,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1252.795,19,13,0,100,United Kingdom,United Kingdom,Other,I only know English,English,,Ambidextrous,High school diploma/A-levels,United Kingdom,Male,No,I was raised with my native language only
APPROVED,3527.517,38,402,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Left-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
APPROVED,2891.679,34,225,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,2181.965,42,396,7,98,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1082.227,30,24,0,100,United Kingdom,United Kingdom,Full-Time,I know one other language in addition to English,DATA EXPIRED,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1622.261,32,299,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1799.464,21,170,0,100,Germany,United Kingdom,Other,I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
APPROVED,1460.567,31,53,1,99,Canada,Canada,Part-Time,I only know English,English,,Right-handed,Technical/community college,Canada,Female,Yes,I was raised with my native language only
APPROVED,1634.927,18,23,1,99,United Kingdom,United Kingdom,,I only know English,,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1301.731,29,79,0,100,United Kingdom,United Kingdom,Part-Time,I know one other language in addition to English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
APPROVED,1802.143,33,206,0,100,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,,Right-handed,High school diploma/A-levels,United States,Female,No,I was raised with my native language only
APPROVED,1907.886,22,39,1,99,United Kingdom,United Kingdom,DATA EXPIRED,I only know English,English,,Right-handed,High school diploma/A-levels,United Kingdom,Male,No,I was raised with my native language only
APPROVED,1415.214,20,77,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
APPROVED,994.911,21,67,3,96,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,DATA EXPIRED,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
APPROVED,1603.189,18,46,0,100,United Kingdom,United Kingdom,Part-Time,I know one other language in addition to English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
APPROVED,2185.554,38,451,3,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
APPROVED,1647.771,36,112,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
RETURNED,69091.171356,28,144,1,100,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
APPROVED,1215.683,26,167,1,100,United Kingdom,United Kingdom,Other,I only know English,English,English,Right-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
APPROVED,2854.021,31,44,2,97,United Kingdom,United Kingdom,Full-Time,I only know English,DATA EXPIRED,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1475.828,49,568,3,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1337.98,47,329,7,97,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1945.821,50,83,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,DATA EXPIRED,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
APPROVED,2325.735,30,334,2,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Ambidextrous,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
APPROVED,1215.646,34,99,0,100,Germany,Canada,Unemployed (and job seeking),I know one other language in addition to English,English,English,Left-handed,High school diploma/A-levels,Canada,Female,No,I was raised with my native language only
