status,time_taken,age,num_approvals,num_rejections,prolific_score,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First Language,First language,Handedness,Highest education level completed,Nationality,Sex,Student Status,Were you raised monolingual?
AWAITING REVIEW,2283.262,36,13,0,100,United Arab Emirates,Canada,Full-Time,I know one other language in addition to English,DATA EXPIRED,English,Right-handed,Undergraduate degree (BA/BSc/other),Canada,Female,No,I was raised with my native language only
AWAITING REVIEW,3740.088,22,205,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,,Right-handed,High school diploma/A-levels,United Kingdom,Male,No,I was raised with my native language only
RETURNED,77263.212332,22,191,2,98,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
AWAITING REVIEW,1214.212,35,320,1,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1051.598,18,121,4,98,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1804.164,29,140,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1593.105,29,122,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Doctorate degree (PhD/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1103.301,19,55,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,Yes,I was raised with my native language only
TIMED-OUT,77096.775914,34,151,0,100,United Kingdom,United Kingdom,Other,I only know English,English,,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1313.206,45,20,0,100,Australia,Portugal,Full-Time,I only know English,DATA EXPIRED,English,Right-handed,Undergraduate degree (BA/BSc/other),Australia,Female,No,I was raised with my native language only
AWAITING REVIEW,1437.603,29,182,6,97,United Kingdom,United Kingdom,Due to start a new job within the next month,I only know English,English,,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
REJECTED,1088.645,19,72,5,94,United States,United States,Unemployed (and job seeking),I only know English,DATA EXPIRED,English,Right-handed,High school diploma/A-levels,United States,Female,Yes,I was raised with my native language only
AWAITING REVIEW,923.383,29,13,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,2129.089,33,413,3,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1663.341,20,138,4,98,United Kingdom,United Kingdom,Unemployed (and job seeking),I know 2 or more languages in addition to English,English,,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1357.556,37,117,1,99,United States,United States,Full-Time,I only know English,English,,Right-handed,Doctorate degree (PhD/other),United States,Female,No,I was raised with my native language only
AWAITING REVIEW,1430.089,20,84,0,100,United Kingdom,United Kingdom,Other,I only know English,English,,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,2756.453,46,86,0,100,United States,,Unemployed (and job seeking),I only know English,English,,Right-handed,High school diploma/A-levels,United States,Female,No,I was raised with my native language only
AWAITING REVIEW,1054.331,23,192,1,100,United States,United States,Due to start a new job within the next month,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United States,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1109.224,28,73,0,100,Canada,Canada,Full-Time,I only know English,English,,Right-handed,Graduate degree (MA/MSc/MPhil/other),Canada,Female,No,I was raised with my native language only
AWAITING REVIEW,3486.828,42,686,2,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1563.677,30,14,1,94,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
TIMED-OUT,76859.039993,43,296,2,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2923.106,19,1,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,2366.171,38,106,1,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2320.229,28,26,0,100,United Kingdom,United Kingdom,DATA EXPIRED,I only know English,DATA EXPIRED,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1384.107,36,44,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Left-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2030.773,28,223,5,96,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1277.805,32,107,2,98,Ireland,United Kingdom,Full-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),Ireland,Female,No,I was raised with my native language only
AWAITING REVIEW,1658.701,19,90,0,100,Canada,Canada,Part-Time,I know one other language in addition to English,English,,Right-handed,Undergraduate degree (BA/BSc/other),Canada,Male,Yes,I was raised with my native language only
AWAITING REVIEW,1334.684,30,22,1,99,United Kingdom,United Kingdom,Full-Time,I only know English,DATA EXPIRED,English,Right-handed,Doctorate degree (PhD/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1706.239,27,50,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1313.5,25,34,0,100,Canada,Canada,Part-Time,I only know English,,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),Canada,Female,No,I was raised with my native language only
AWAITING REVIEW,1820.761,33,7,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,DATA EXPIRED,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1478.689,22,20,2,96,United Kingdom,United Kingdom,Unemployed (and job seeking),I know one other language in addition to English,DATA EXPIRED,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1668.759,39,206,0,100,Canada,Canada,Full-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),Canada,Male,No,I was raised with my native language only
AWAITING REVIEW,1797.257,32,14,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Left-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Male,No,I was raised with my native language only
REJECTED,1048.459,26,47,4,93,United Kingdom,United Kingdom,Full-Time,I only know English,DATA EXPIRED,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1808.74,42,316,4,96,United States,United States,Unemployed (and job seeking),I only know English,English,,Right-handed,Technical/community college,United States,Male,No,I was raised with my native language only
AWAITING REVIEW,3833.013,47,126,3,98,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Left-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
RETURNED,75966.375972,28,6,0,100,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
AWAITING REVIEW,1869.356,35,150,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1957.042,50,12,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,DATA EXPIRED,English,Right-handed,Secondary education (e.g. GED/GCSE),Ireland,Female,No,I was raised with my native language only
AWAITING REVIEW,2939.22,32,135,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1173.776,36,262,6,96,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,English,Left-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1639.994,20,14,0,100,United Kingdom,United Kingdom,Other,I only know English,DATA EXPIRED,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1119.637,20,86,0,100,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,,Right-handed,High school diploma/A-levels,United Kingdom,Male,Yes,I was raised with my native language only
AWAITING REVIEW,1613.859,22,13,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,DATA EXPIRED,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1372.22,24,172,1,100,Switzerland,United Kingdom,Unemployed (and job seeking),I know one other language in addition to English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,2508.873,49,331,2,99,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1992.316,31,7,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1316.528,37,407,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Left-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1222.647,30,5,0,100,Ireland,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),Ireland,Female,No,I was raised with my native language only
AWAITING REVIEW,2024.014,42,319,0,100,Ireland,Ireland,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,English,Right-handed,Technical/community college,Ireland,Female,No,I was raised with my native language only
AWAITING REVIEW,1916.781,26,23,0,100,United States,United States,Full-Time,I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United States,Male,No,I was raised with my native language only
TIMED-OUT,76451.399158,29,81,0,100,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,English,Right-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2181.515,37,165,2,99,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,DATA EXPIRED,English,Right-handed,High school diploma/A-levels,United States,Female,No,I was raised with my native language only
AWAITING REVIEW,1634.766,32,336,2,100,United States,United States,Part-Time,I only know English,English,English,Right-handed,High school diploma/A-levels,United States,Male,No,I was raised with my native language only
RETURNED,76366.390202,20,92,1,100,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
AWAITING REVIEW,2017.911,36,271,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,2072.681,50,384,1,100,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,English,Right-handed,Technical/community college,United States,Female,No,I was raised with my native language only
AWAITING REVIEW,1648.268,36,179,0,100,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1908.317,19,218,2,100,United States,United States,Unemployed (and job seeking),I only know English,English,English,Right-handed,High school diploma/A-levels,United States,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1006.885,46,177,0,100,Canada,United Kingdom,Full-Time,I only know English,English,,Right-handed,Graduate degree (MA/MSc/MPhil/other),Canada,Female,No,I was raised with my native language only
AWAITING REVIEW,1257.612,36,373,5,99,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1284.292,38,47,0,100,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1828.805,19,4,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1294.965,43,78,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,DATA EXPIRED,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,3635.524,45,447,1,100,United States,United States,Full-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United States,Male,No,I was raised with my native language only
AWAITING REVIEW,1827.944,31,123,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1673.41,41,306,1,100,United States,United States,Part-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United States,Male,No,I was raised with my native language only
AWAITING REVIEW,1786.835,23,36,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1590.813,25,58,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,DATA EXPIRED,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1893.237,25,73,0,100,United Kingdom,United Kingdom,Other,I only know English,DATA EXPIRED,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,Yes,I was raised with my native language only
