"Id_Session"	"Device"	"Age"	"Gender"	"Raising"	"Education"	"Proficiency"	"First_Contact"	"Mother"	"Father"	"Exposure"	"Languages"
260	"MB"	22	"Dona"	"Catalunya"	7	7	0	"Castellà"	"Català"	100	4
261	"MB"	47	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	100	4
263	"MB"	33	"Dona"	"Catalunya"	8	5	0	"Català"	"Català"	80	3
264	"MB"	21	"Dona"	"Balears"	7	7	0	"Català"	"Català"	100	3
265	"MB"	40	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	90	3
266	"MB"	62	"Dona"	"Catalunya"	7	5	3	"Català"	"Castellà"	80	2
268	"MB"	22	"Dona"	"Comunitat valenciana"	7	7	0	"Castellà"	"Català"	100	3
269	"MB"	56	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	100	2
270	"MB"	49	"Home"	"Catalunya"	2	5	0	"Català"	"Català"	70	2
272	"MB"	19	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	100	4
273	"MB"	54	"Dona"	"Catalunya"	6	7	0	"Català"	"Català"	100	3
274	"MB"	47	"Dona"	"Catalunya"	6	7	0	"Castellà"	"Català"	70	3
276	"MB"	50	"Dona"	"Catalunya"	6	4	0	"Català"	"Català"	70	3
277	"MB"	62	"Dona"	"Catalunya"	6	7	0	"Català"	"Català"	100	3
278	"PC"	49	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	90	3
279	"MB"	27	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	100	3
281	"MB"	23	"Dona"	"Comunitat valenciana"	7	7	0	"Català"	"Català"	60	5
282	"MB"	27	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	100	3
286	"MB"	66	"Home"	"Catalunya"	3	7	0	"Català"	"Català"	90	2
287	"PC"	19	"Dona"	"Catalunya"	6	7	0	"Català"	"Català"	80	5
288	"MB"	62	"Home"	"Catalunya"	2	4	0	"Castellà"	"Català"	50	2
290	"MB"	57	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	80	4
292	"MB"	70	"Dona"	"Catalunya"	7	5	0	"Català"	"Català"	80	2
294	"MB"	18	"Home"	"Catalunya"	4	7	1	"Català"	"Català"	100	2
295	"PC"	34	"Home"	"Catalunya"	7	5	0	"Català"	"Català"	100	3
296	"PC"	41	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	100	4
297	"MB"	66	"Home"	"Catalunya"	6	7	0	"Català"	"Castellà"	100	6
298	"MB"	18	"Dona"	"Comunitat valenciana"	7	7	0	"Català"	"Castellà"	80	3
301	"MB"	55	"Dona"	"Catalunya"	2	4	1	"Català"	"Català"	90	3
303	"MB"	55	"Dona"	"Catalunya"	2	4	1	"Català"	"Català"	90	3
304	"PC"	22	"Dona"	"Catalunya"	8	7	0	"Català"	"Català"	100	3
307	"MB"	32	"Dona"	"Catalunya"	8	7	0	"Català"	"Català"	90	2
309	"MB"	65	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	70	3
310	"MB"	20	"Dona"	"Catalunya"	7	7	0	"Català"	"Castellà"	100	3
311	"PC"	33	"Home"	"Catalunya"	8	7	0	"Català"	"Català"	100	3
312	"MB"	18	"Home"	"Catalunya"	6	7	0	"Català"	"Català"	90	3
313	"MB"	22	"Dona"	"Catalunya"	8	5	0	"Català"	"Català"	80	4
314	"PC"	45	"Home"	"Catalunya"	7	7	0	"Català"	"Català"	60	4
315	"MB"	57	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	90	4
317	"MB"	62	"Home"	"Catalunya"	8	7	0	"Català"	"Català"	90	3
319	"MB"	61	"Dona"	"Catalunya"	5	5	0	"Català"	"Català"	100	2
324	"MB"	72	"Dona"	"Catalunya"	2	5	0	"Català"	"Català"	60	2
325	"MB"	27	"Home"	"Catalunya"	5	7	0	"Català"	"Català"	70	3
326	"MB"	19	"Home"	"Catalunya"	7	4	0	"Català"	"Català"	50	5
329	"MB"	26	"Dona"	"Catalunya"	8	7	0	"Català"	"Català"	80	3
330	"MB"	25	"Dona"	"Catalunya"	6	7	0	"Català"	"Català"	100	1
332	"MB"	29	"Home"	"Catalunya"	8	7	0	"Català"	"Castellà"	100	3
333	"MB"	56	"Home"	"Catalunya"	8	7	0	"Català"	"Català"	80	4
335	"MB"	32	"Dona"	"Catalunya"	8	7	0	"Català"	"Català"	70	4
336	"MB"	23	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	100	3
337	"MB"	47	"Home"	"Catalunya"	3	5	0	"Català"	"Català"	70	3
341	"MB"	53	"Home"	"Catalunya"	8	7	0	"Català"	"Català"	90	4
342	"MB"	37	"Dona"	"Catalunya"	6	5	0	"Català"	"Català"	80	2
344	"MB"	54	"Dona"	"Catalunya"	7	6	0	"Català"	"Català"	50	2
345	"MB"	39	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	100	5
346	"MB"	70	"Dona"	"Catalunya"	7	6	0	"Català"	"Català"	90	3
349	"MB"	20	"Dona"	"Catalunya"	7	6	0	"Català"	"Català"	100	3
351	"MB"	63	"Dona"	"Catalunya"	7	6	0	"Català"	"Català"	90	2
352	"MB"	30	"Dona"	"Catalunya"	8	7	0	"Català"	"Català"	80	2
353	"MB"	53	"Home"	"Catalunya"	3	4	0	"Català"	"Català"	90	2
354	"MB"	53	"Dona"	"Catalunya"	6	5	0	"Català"	"Català"	100	3
355	"MB"	62	"Dona"	"Catalunya"	3	4	0	"Català"	"Català"	90	2
356	"MB"	32	"Home"	"Resta d'Espanya"	8	7	0	"Català"	"Català"	10	4
357	"MB"	37	"Dona"	"Catalunya"	8	7	0	"Català"	"Català"	100	3
358	"MB"	51	"Home"	"Catalunya"	7	7	0	"Català"	"Català"	90	3
359	"MB"	27	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	90	2
361	"MB"	53	"Dona"	"Catalunya"	6	5	0	"Català"	"Català"	100	3
363	"MB"	48	"Dona"	"Catalunya"	7	5	1	"Català"	"Català"	90	2
364	"MB"	37	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	80	2
365	"MB"	48	"Dona"	"Catalunya"	5	7	0	"Català"	"Català"	100	3
366	"PC"	33	"Home"	"Catalunya"	8	7	0	"Català"	"Castellà"	70	5
369	"MB"	26	"Home"	"Catalunya"	5	7	0	"Català"	"Català"	60	3
370	"MB"	22	"Home"	"Catalunya"	7	5	0	"Català"	"Català"	100	3
371	"MB"	49	"Dona"	"Catalunya"	8	7	0	"Català"	"Català"	80	4
372	"MB"	66	"Dona"	"Catalunya"	7	7	0	"Castellà"	"Català"	100	6
374	"PC"	33	"Home"	"Catalunya"	8	7	0	"Català"	"Castellà"	70	5
375	"MB"	24	"Dona"	"Catalunya"	8	7	0	"Català"	"Català"	100	3
376	"MB"	30	"Dona"	"Catalunya"	7	7	0	"Català"	"Castellà"	90	3
377	"MB"	48	"Dona"	"Catalunya"	7	5	0	"Català"	"Català"	90	3
378	"MB"	40	"Dona"	"Catalunya"	5	5	0	"Castellà"	"Català"	100	2
379	"MB"	34	"Home"	"Catalunya"	8	7	0	"Castellà"	"Català"	90	4
380	"MB"	56	"Dona"	"Catalunya"	8	4	0	"Català"	"Català"	90	3
383	"MB"	22	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	60	4
386	"MB"	51	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	100	3
387	"MB"	74	"Dona"	"Catalunya"	5	5	1	"Català"	"Català"	70	3
388	"MB"	51	"Home"	"Catalunya"	7	7	0	"Català"	"Català"	60	4
390	"MB"	31	"Home"	"Catalunya"	8	7	0	"Català"	"Català"	60	3
