Cit2;Cit1;ID;age;gender;hand;resp;RTs;accuracy
Bologna;Latina;alissa59;20;FALSE;DX;l;2501;1
Bologna;Latina;denise33;21;FALSE;DX;l;1568,7;1
Bologna;Latina;  iliaria37;21;FALSE;SX;l;2673,1;1
Bologna;Latina;SD1999;23;FALSE;DX;l;1309,7;1
Bologna;Latina;CS;27;FALSE;DX;l;991,6;1
Bologna;Latina;gf2002;20;f;dx;l;1201,9;1
Bologna;Latina;ilaria51;24;FALSE;DX;l;982,1;1
Bologna;Latina;giulia28;25;FALSE;dx;l;906;1
Bologna;Latina;federica17;22;FALSE;DX;l;1302,1;1
Bologna;Latina;lucrezia26;21;FALSE;DX;l;921,3;1
Bologna;Latina;chiara38;20;FALSE;DX;l;1262,6;1
Bologna;Latina;eleonora13;20;FALSE;DX;l;1983,7;1
Bologna;Latina;cristina16;20;FALSE;DX;l;1151,2;1
Bologna;Latina;serena;25;FALSE;DX;l;1023,7;1
Bologna;Latina;ilenia70;24;FALSE;DX;l;2936;1
Bologna;Latina;gaia60;20;FALSE;DX;l;1662;1
Bologna;Latina;laura9;26;FALSE;DX;l;686,1;1
Bologna;Latina;arianna18;21;FALSE;DX;a;847,4;0
Bologna;Latina;vittoria67;23;FALSE;DX;l;1694,8;1
Bologna;Latina;SB2001;21;FALSE;DX;l;1132;1
Bologna;Latina;giulia23;22;FALSE;DX;l;929;1
Bologna;Latina;Laura66;20;FALSE;DX;l;1008;1
Bologna;Latina;martina49;22;FALSE;DX;l;889,4;1
Bologna;Latina;giorgia55;22;FALSE;DX;l;797,8;1
Bologna;Latina;Sonia;26;FALSE;DX;l;1191,7;1
Bologna;Latina;sara71;21;FALSE;DX;l;847,5;1
Bologna;Latina;francesco68;27;M;SX;l;1538,5;1
Bologna;Latina;Eleonora;28;FALSE;DX;l;1317,7;1
Bologna;Latina;martina3;21;FALSE;DX;l;835,2;1
Bologna;Latina;elide10;24;FALSE;DX;l;736,8;1
Bologna;Latina;andra12;23;FALSE;DX;l;1081,01;1
Bologna;Latina;susanna2;21;FALSE;DX;l;939,1;1
Bologna;Latina;martina54;28;FALSE;SX;l;1069,5;1
Bologna;Latina;nicola19;23;M;DX;l;1302,8;1
Bologna;Latina;sean27;27;M;DX;l;1128;1
Bologna;Latina;manfredi25;22;M;DX;l;1827,9;1
Bologna;Latina;samuele47;24;M;DX;l;1764,3;1
Bologna;Latina;edoardo52;23;M;DX;l;1380;1
Bologna;Latina;lorenzo64;20;M;DX;l;1382;1
Bologna;Latina;elia6;20;M;DX;l;1016,8;1
Bologna;Latina;riccardo72;22;M;DX;l;1177,8;1
Bologna;Livorno;andra12;23;FALSE;DX;l;1145,725;1
Bologna;Livorno;gaia60;20;FALSE;DX;l;2764;1
Bologna;Livorno;chiara38;20;FALSE;DX;l;1432,9;1
Bologna;Livorno;alex35;28;M;DX;l;1189,2;1
Bologna;Livorno;SD1999;23;FALSE;DX;l;1808,4;1
Bologna;Livorno;elena56;22;FALSE;DX;l;930;1
Bologna;Livorno;elide10;24;FALSE;DX;l;1552;1
Bologna;Livorno;marta57;32;FALSE;DX;a;1460;0
Bologna;Livorno;federica17;22;FALSE;DX;l;973,8;1
Bologna;Livorno;andrea40;20;M;DX;a;1782;0
Bologna;Livorno;lucrezia26;21;FALSE;DX;l;662,4;1
Bologna;Livorno;denise33;21;FALSE;DX;l;986,1;1
Bologna;Livorno;Eleonora;28;FALSE;DX;l;1882,5;1
Bologna;Livorno;susanna2;21;FALSE;DX;l;1450,2;1
Bologna;Livorno;CS;27;FALSE;DX;l;1876;1
Bologna;Livorno;martina49;22;FALSE;DX;l;913,3;1
Bologna;Livorno;SF2002;20;FALSE;SX;l;2280,7;1
Bologna;Livorno;eleonora13;20;FALSE;DX;l;2238,2;1
Bologna;Livorno;cristina16;20;FALSE;DX;l;1028,6;1
Bologna;Livorno;nicola19;23;M;DX;l;1618,3;1
Bologna;Livorno;sean27;27;M;DX;l;1838;1
Bologna;Livorno;giorgia55;22;FALSE;DX;a;629,6;0
Bologna;Livorno;samuele42;21;M;SX;l;2394,2;1
Bologna;Livorno;arianna18;21;FALSE;DX;l;824,5;1
Bologna;Livorno;martina3;21;FALSE;DX;l;1364;1
Bologna;Livorno;samuele47;24;M;DX;l;2616,4;1
Bologna;Livorno;alessia69;26;FALSE;DX;l;1148,7;1
Bologna;Livorno;Sonia;26;FALSE;DX;l;2374,5;1
Bologna;Livorno;laura9;26;FALSE;DX;a;1582,9;0
Bologna;Livorno;martina54;28;FALSE;SX;l;1033,9;1
Bologna;Livorno;ilenia70;24;FALSE;DX;l;1239;1
Bologna;Livorno;lucrezia32;22;FALSE;DX ;l;2099;1
Bologna;Livorno;CAL1999;23;FALSE;DX;a;1957,2;0
Bologna;Livorno;Laura66;20;FALSE;DX;l;1243;1
Bologna;Livorno;valentina45;21;FALSE;DX;l;1411,4;1
Bologna;Livorno;giulia28;25;FALSE;dx;l;728;1
Bologna;Livorno;LF1998;24;FALSE;DX;l;1017;1
Bologna;Livorno;SB2001;21;FALSE;DX;l;1395;1
Bologna;Livorno;giulia23;22;FALSE;DX;l;2296;1
Bologna;Livorno;ilaria51;24;FALSE;DX;l;880,6;1
Bologna;Livorno;vittoria67;23;FALSE;DX;l;1227,7;1
Bologna;Livorno;edoardo52;23;M;DX;l;2446;1
Bologna;Livorno;GiorgioLazzari;24;M;DX;l;1887,4;1
Bologna;Livorno;valentina48;21;FALSE;DX;a;1727,8;0
Bologna;Livorno;manfredi25;22;M;DX;l;1442,8;1
Bologna;Livorno;elia6;20;M;DX;l;935,7;1
Bologna;Livorno;riccardo72;22;M;DX;l;1535;1
Bologna;Livorno;gf2002;20;f;dx;l;980,5;1
Bologna;Livorno;serena;25;FALSE;DX;l;1105,9;1
Bologna;Livorno; irene1;24;FALSE;DX;l;1254;1
Bologna;Livorno;francesco68;27;M;SX;a;774,4;0
Bologna;Livorno;  iliaria37;21;FALSE;SX;l;1443,8;1
Bologna;Livorno;sara71;21;FALSE;DX;a;1585,7;0
Bologna;Livorno;gaia4;19;FALSE;DX;l;2636,6;1
Bologna;Livorno;iacopo50;21;M;DX;a;2076,2;0
Bologna;Napoli;SB2001;21;FALSE;DX;l;946;1
Bologna;Napoli;samuele47;24;M;DX;l;1773,3;1
Bologna;Napoli;ilaria51;24;FALSE;DX;l;1751,2;1
Bologna;Napoli;arianna18;21;FALSE;DX;l;781,1;1
Bologna;Napoli;gaia60;20;FALSE;DX;l;2932;1
Bologna;Napoli;CS;27;FALSE;DX;l;1040;1
Bologna;Napoli;francesco68;27;M;SX;l;1007;1
Bologna;Napoli;gaia4;19;FALSE;DX;l;1267;1
Bologna;Napoli;SF2002;20;FALSE;SX;l;1029;1
Bologna;Napoli;sean27;27;M;DX;l;1056;1
Bologna;Napoli;giulia28;25;FALSE;dx;l;976;1
Bologna;Napoli;federica17;22;FALSE;DX;l;933,9;1
Bologna;Napoli;susanna2;21;FALSE;DX;l;792,3;1
Bologna;Napoli;alessia69;26;FALSE;DX;l;1462,4;1
Bologna;Napoli;iacopo50;21;M;DX;l;1798,2;1
Bologna;Napoli;eleonora13;20;FALSE;DX;l;1068,2;1
Bologna;Napoli;lorenzo64;20;M;DX;l;1748;1
Bologna;Napoli;martina49;22;FALSE;DX;l;921,1;1
Bologna;Napoli;giorgia55;22;FALSE;DX;l;681,6;1
Bologna;Napoli;edoardo52;23;M;DX;l;815;1
Bologna;Napoli;andra12;23;FALSE;DX;l;910,68;1
Bologna;Napoli;riccardo72;22;M;DX;l;1065,4;1
Bologna;Napoli;sara71;21;FALSE;DX;l;847,9;1
Bologna;Napoli;gf2002;20;f;dx;l;1742,8;1
Bologna;Napoli;LF1998;24;FALSE;DX;l;1179;1
Bologna;Napoli;marta57;32;FALSE;DX;l;1850;1
Bologna;Napoli;nicola19;23;M;DX;l;1150,5;1
Bologna;Napoli;alex35;28;M;DX;l;908,8;1
Bologna;Napoli;laura9;26;FALSE;DX;l;1001,1;1
Bologna;Napoli;manfredi25;22;M;DX;l;1210,4;1
Bologna;Napoli;serena;25;FALSE;DX;l;1040,6;1
Bologna;Napoli;emanuela36;20;FALSE;DX;l;1146;1
