"Trial.order","Subject","Subject.number","Trial.name","correct","response","RT","leksikalnost","FWD_BCW","LF_HF","CONC_ABS","izvorna_rec","trial.number","rec","task"
82,"s1.dat",1,"t82",1,"1",541,"rec","forw","HF","conc","kaput",82,"KAPUT","ALD"
82,"s1.dat",1,"t82",1,"1",541,"rec","forw","HF","conc","klavir",82,"KLAVIR","VLD"
83,"s1.dat",1,"t111",1,"1",902,"rec","forw","LF","conc","perika",111,"PERIKA","ALD"
83,"s1.dat",1,"t111",1,"1",902,"rec","forw","LF","conc","pelena",111,"PELENA","VLD"
84,"s1.dat",1,"t69",1,"1",551,"rec","forw","HF","abst","znanje",69,"ZNANJE","ALD"
84,"s1.dat",1,"t69",1,"1",551,"rec","forw","HF","abst","sumnja",69,"SUMNJA","VLD"
85,"s1.dat",1,"t108",1,"1",491,"rec","forw","LF","conc","tegla",108,"TEGLA","ALD"
85,"s1.dat",1,"t108",1,"1",491,"rec","forw","LF","conc","kompot",108,"KOMPOT","VLD"
86,"s1.dat",1,"t110",1,"1",501,"rec","forw","LF","conc","ranac",110,"RANAC","ALD"
86,"s1.dat",1,"t110",1,"1",501,"rec","forw","LF","conc","kliker",110,"KLIKER","VLD"
87,"s1.dat",1,"t176",1,"3",961,"pseudorec","backw","LF","conc",NA,176,"PUTEF","ALD"
87,"s1.dat",1,"t176",1,"3",961,"pseudorec","backw","LF","conc",NA,176,"NAGIR","VLD"
88,"s1.dat",1,"t196",1,"3",1091,"pseudorec","forw","HF","conc",NA,196,"SVRAL","ALD"
88,"s1.dat",1,"t196",1,"3",1091,"pseudorec","forw","HF","conc",NA,196,"BIZOK","VLD"
89,"s1.dat",1,"t83",1,"1",621,"rec","forw","HF","conc","klupa",83,"KLUPA","ALD"
89,"s1.dat",1,"t83",1,"1",621,"rec","forw","HF","conc","zavesa",83,"ZAVESA","VLD"
90,"s1.dat",1,"t37",0,"None",NA,"rec","backw","LF","abst","nužda",37,"ADŽUN","ALD"
90,"s1.dat",1,"t37",0,"None",NA,"rec","backw","LF","abst","pobuda",37,"ADUBOP","VLD"
92,"s1.dat",1,"t195",1,"3",1071,"pseudorec","forw","HF","abst",NA,195,"SVEKAN","ALD"
