id	gender	childhood_location	current_location	native_language	education	age
317	male	uk	uk	english	bachelors_degree	69
318	female	uk	uk	english	bachelors_degree	71
319	female	yorkshireuk	yorkshire	english	bachelors_degree	65
320	male	london	hertfordshire	english	bachelors_degree	88
321	male	uk	uk	english	bachelors_degree	69
322	female	ohio	ohio	english	associates_degree	65
323	female	shropshire	warwickshire	english	masters_degree	68
324	male	sloughengland	northcarolina	english	bachelors_degree	70
325	male	unitedkingdom	unitedkingdom	english	some_college_no_degree	65
326	NA	warwickshireslashengland	hampshireslashengland	english	associates_degree	74
327	male	uk	uk	english	bachelors_degree	65
328	female	uk	uk	english	associates_degree	71
329	female	uk	uk	english	masters_degree	74
330	male	london	cornwall	english	bachelors_degree	75
331	female	newcastleupontyne	bromleykent	english	associates_degree	66
332	female	rhyl	roxburghshire	english	some_high_school	70
333	female	pennsylvania	texas	english	bachelors_degree	68
334	female	england	england	english	bachelors_degree	67
335	male	unitedkingdom	norfolk	english	masters_degree	79
336	male	england	england	english	bachelors_degree	67
337	female	londonuk	londonuk	english	some_college_no_degree	67
338	male	derbyshire	uk	english	bachelors_degree	71
339	female	wiltshire	surrey	english	some_college_no_degree	74
340	male	nottinghamshire	nottinghamshire	english	bachelors_degree	67
341	male	uk	uk	english	some_high_school	65
342	female	london	middlesex	english	bachelors_degree	65
343	male	lancashireengland	ayrshirescotland	english	masters_degree	73
344	male	uk	uk	english	masters_degree	74
345	female	lancashire	lancashire	english	NA	74
346	female	tyneandwear	tyneandwear	english	some_college_no_degree	67
347	female	surreyengland	shropshireengland	english	high_school_graduate	65
348	female	london	dorset	english	bachelors_degree	65
349	female	london	northamptonshire	english	some_college_no_degree	65
350	female	lancashire	lancashire	english	some_college_no_degree	76
351	female	uk	uk	english	masters_degree	68
352	female	surreyuk	bedfordshireuk	english	bachelors_degree	69
353	male	england	england	english	high_school_graduate	68
354	male	surrey	sussex	english	bachelors_degree	73
355	female	lancashireslashengland	lancashireslashengland	english	some_high_school	75
356	female	surreyengland	surreyengland	english	high_school_graduate	66
357	female	england	england	english	some_college_no_degree	67
358	male	yorkshire	yorkshire	english	some_high_school	65
359	other	unitedkingdom	uk	english	bachelors_degree	75
360	male	england	england	english	bachelors_degree	65
361	female	cheshire	london	english	some_college_no_degree	69
362	female	birmingham	worcestershire	english	some_high_school	79
363	female	britain	britain	english	some_college_no_degree	69
364	female	lanarkshire	cornwall	english	masters_degree	69
365	male	unitedkingdom	unitedkingdom	english	masters_degree	67
366	male	uk	uk	english	doctorate	70
367	male	lincolnshire	unitedkingdom	english	bachelors_degree	74
368	male	london	hertford	english	high_school_graduate	68
369	female	nottingham	hampshire	english	bachelors_degree	65
370	female	uk	uk	english	bachelors_degree	67
371	male	essex	eastsussex	english	some_high_school	66
372	male	scotland	england	english	bachelors_degree	65
373	female	london	eastmidlands	english	high_school_graduate	66
374	male	isleofely	fenland	english	some_college_no_degree	68
375	female	hampshire	dorset	english	some_college_no_degree	67
376	male	unitedkingdom	unitedkingdom	english	high_school_graduate	68
377	male	yorkshire	lancashire	english	bachelors_degree	71
378	female	uk	surrey	english	some_high_school	67
379	male	lancashire	somerset	english	bachelors_degree	65
380	male	leicestershire	dorset	english	high_school_graduate	70
381	female	newjersey	australiaminus	english	doctorate	67
382	male	england	auckland	english	some_college_no_degree	74
383	male	ohio	alberta	english	some_college_no_degree	67
384	male	ontario	ontario	english	associates_degree	76
385	male	ny	fl	english	masters_degree	71
386	male	wisconsin	florida	english	masters_degree	65
387	female	vermont	vermont	english	some_college_no_degree	66
388	female	oh	vt	english	doctorate	67
389	male	ontario	ontario	english	some_college_no_degree	68
390	male	maryland	michigan	english	bachelors_degree	69
391	male	newjersey	florida	english	some_college_no_degree	77
392	female	kent	somerset	english	masters_degree	67
393	male	hertfordshire	hertfordshire	english	high_school_graduate	69
394	female	southyorkshireengland	yorkshire	english	high_school_graduate	65
395	male	derbyshireunitedkingdomrightright	derbyshire	english	bachelors_degree	70
396	female	lcontrollcontrollcontrollcontrollcontrollcontrollcontrolibirmingham	derbyshire	english	some_college_no_degree	73
397	male	swanseawalesuk	swanseawalesuk	english	some_high_school	77
398	female	illinois	ilinois	english	bachelors_degree	71
399	male	tn	tn	english	doctorate	71
400	male	wisconsin	wisconsin	english	bachelors_degree	72
401	female	texas	oklahoma	english	masters_degree	73
402	male	wi	wi	english	high_school_graduate	68
403	male	nj	fl	english	bachelors_degree	65
