id	gender	childhood_location	current_location	native_language	education	age
1172	male	newyork	newyork	english	associates_degree	35
1173	female	florida	florida	english	masters_degree	40
1174	female	newyork	michigan	english	bachelors_degree	34
1175	male	ohio	virginia	english	bachelors_degree	35
1176	male	illinois	florida	english	masters_degree	29
1177	male	missouri	florida	english	associates_degree	28
1178	female	newyork	newyork	english	masters_degree	25
1179	male	virginia	virginia	english	some_college_no_degree	24
1180	female	newjersey	indiana	english	masters_degree	34
1181	female	georgia	georgia	english	bachelors_degree	30
1182	NA	florida	florida	english	bachelors_degree	41
1183	male	ct	pa	english	doctorate	29
1184	male	newyork	newyork	english	some_college_no_degree	21
1185	female	massachusetts	florida	english	some_high_school	23
1186	male	florida	florida	english	bachelors_degree	38
1187	male	md	md	english	bachelors_degree	45
1188	male	ny	ma	english	doctorate	36
1189	male	ny	ny	english	bachelors_degree	30
1190	female	texas	michigan	english	bachelors_degree	36
1191	male	connecticut	newyork	english	bachelors_degree	34
1192	male	kentucky	kentucky	english	bachelors_degree	24
1193	female	ontario	ontario	english	some_college_no_degree	23
1194	other	nh	tx	english	some_college_no_degree	21
1195	female	ny	ny	spanish	bachelors_degree	29
1196	female	newjersey	newjersey	english	bachelors_degree	28
1197	female	southcarolinakansasvirginiapennsylvania	michigan	english	some_college_no_degree	23
1198	male	nc	nc	english	some_college_no_degree	29
1199	female	newyork	newyork	english	masters_degree	31
1200	male	ct	ct	english	bachelors_degree	44
1201	female	ky	fl	english	high_school_graduate	44
1202	male	newyork	newyork	english	bachelors_degree	53
1203	female	newyork	newyork	english	bachelors_degree	42
1204	male	ky	ky	english	masters_degree	43
1205	male	florida	newyork	english	masters_degree	26
1206	male	texas	texas	english	doctorate	53
1207	female	pa	pa	english	some_college_no_degree	48
1208	female	pennsylvania	florida	english	high_school_graduate	36
1209	female	ny	ny	english	bachelors_degree	25
1210	male	pa	ga	english	masters_degree	38
1211	male	pennsylvania	pennsylvania	english	high_school_graduate	26
1212	male	ohio	kentucky	english	masters_degree	43
1213	female	tennessee	southcarolina	english	high_school_graduate	23
1214	male	california	california	english	masters_degree	31
1215	female	kentucky	kentucky	english	some_college_no_degree	39
1216	male	va	ny	english	associates_degree	38
1217	male	nh	nh	english	high_school_graduate	20
1218	male	nj	nj	english	some_college_no_degree	22
1219	female	ohio	ohio	english	doctorate	62
1220	male	ohio	brookpark	english	some_college_no_degree	35
1221	male	florida	florida	english	high_school_graduate	22
1222	female	virginia	virginia	english	doctorate	53
1223	female	indiana	ohio	english	masters_degree	36
1224	male	maryland	maryland	english	bachelors_degree	32
1225	female	michigan	michigan	english	high_school_graduate	43
1226	male	nc	nc	english	masters_degree	39
1227	male	ny	nj	english	bachelors_degree	38
1228	female	delaware	delaware	english	some_college_no_degree	41
1229	female	newyork	newyork	english	bachelors_degree	30
1230	male	maryland	maryland	english	bachelors_degree	38
1231	male	florida	florida	english	some_college_no_degree	19
