participant_id,token_id,trial,word,original_code,condition,word_position,position_num,eprime_onset_ms,is_erp_target,N400_mean_uV,P600_mean_uV,N400_peak_uV,P600_peak_uV,N400_peak_lat_ms,P600_peak_lat_ms,peak_uV
E17,729,54,dari,17,Active,PP_w1,7,887257,0,0.35229966044426,1.0984548330307,-1.03231465816498,2.75838851928711,362,647,3.38640117645264
E17,730,54,pagi,18,Active,PP_w2,8,887891,0,0.950474977493286,1.12687301635742,-0.0837015584111214,2.93765473365784,402,518,3.70626616477966
E17,731,54,hari,19,Active,PP_w3,9,888525,0,-1.65124809741974,-1.19096755981445,-2.79463410377502,-0.458377510309219,382,655,3.5226411819458
E17,732,55,Penjahat,31,AB_Passive,NP1_w1,1,890944,0,0.115757815539837,0.755905032157898,-0.760568380355835,1.87141525745392,300,671,3.65239334106445
E17,733,55,itu,32,AB_Passive,NP1_w2,2,891577,0,0.714401483535767,0.992329239845276,-0.0666588991880417,2.88832092285156,300,695,3.84250736236572
E17,734,55,diseret,33,AB_Passive,VERB,3,892211,1,0.651066482067108,0.829388916492462,-0.147505030035973,1.83248054981232,405,772,2.82939887046814
E17,735,55,kemarin,34,AB_Passive,ADV,4,892845,1,-0.813767313957214,-0.427257746458054,-1.52377569675446,1.1975919008255,406,743,2.62792825698853
E17,736,55,oleh,35,AB_Passive,NP2_w1,5,893479,0,0.747516751289368,0.806416928768158,-0.595772564411163,2.75118684768677,422,623,3.74000310897827
E17,737,55,polisi,36,AB_Passive,NP2_w2,6,894113,1,-0.315298080444336,-0.184041425585747,-1.42506062984467,1.45832967758179,478,551,3.51166129112244
E17,738,55,karena,37,AB_Passive,PP_w1,7,894747,0,-0.248130396008492,-1.61628091335297,-1.87564611434937,-0.597211122512817,489,509,3.61939764022827
E17,739,55,perbuatannya,38,AB_Passive,PP_w2,8,895381,0,0.351455241441727,0.433960825204849,-0.561186492443085,2.08808779716492,323,639,2.57034301757812
E17,740,55,Menurut,80,Filler,w0,0,897900,0,1.91945707798004,2.06319284439087,0.744591891765594,3.88998508453369,395,635,5.19981241226196
E17,741,55,kata,81,Filler,w1,1,898534,0,0.392325401306152,0.015176503919065,-0.674710690975189,1.38990998268127,473,570,3.21103024482727
E17,742,55,tetangga,82,Filler,w2,2,899168,0,-1.14846754074097,-1.19350731372833,-1.79482185840607,0.0160012375563383,307,798,3.66256666183472
