"list","participant_id","trial_id","stimulus","trial_order","lexicality","response","accuracy","rt"
"PRIDEVI_B","subject-82.csv",32,"LAŽNOG",144,"rec","1",1,627
"PRIDEVI_B","subject-82.csv",186,"NELAHOJ",145,"pseudorec","3",1,818
"PRIDEVI_B","subject-82.csv",192,"FLAKOJ",146,"pseudorec","3",1,831
"PRIDEVI_B","subject-82.csv",206,"FRKENOJ",147,"pseudorec","3",1,736
"PRIDEVI_B","subject-82.csv",121,"GILANOG",148,"pseudorec","3",1,797
"PRIDEVI_B","subject-82.csv",15,"DRUŠTVENOM",149,"rec","1",1,623
"PRIDEVI_B","subject-82.csv",88,"ŠUMSKOJ",150,"rec","1",1,677
"PRIDEVI_B","subject-82.csv",25,"JUŽNOJ",151,"rec","1",1,838
"PRIDEVI_B","subject-82.csv",141,"TORNOG",152,"pseudorec","3",1,703
"PRIDEVI_B","subject-82.csv",117,"VURNOG",153,"pseudorec","3",1,760
"PRIDEVI_B","subject-82.csv",167,"ČUPAKOM",154,"pseudorec","3",1,842
"PRIDEVI_B","subject-82.csv",130,"KUDNOG",155,"pseudorec","3",1,720
"PRIDEVI_B","subject-82.csv",188,"KLAKNOJ",156,"pseudorec","3",1,675
"PRIDEVI_B","subject-82.csv",61,"POLITIČKOJ",157,"rec","1",1,794
"PRIDEVI_B","subject-82.csv",157,"LASIVOM",158,"pseudorec","3",1,989
"PRIDEVI_B","subject-82.csv",48,"NEPOZNATOM",159,"rec","1",1,620
"PRIDEVI_B","subject-82.csv",31,"LAKOJ",160,"rec","1",1,655
"PRIDEVI_B","subject-82.csv",67,"PRIVREDNOJ",161,"rec","1",1,1144
"PRIDEVI_B","subject-82.csv",81,"SLOBODNOM",162,"rec","1",1,668
"PRIDEVI_B","subject-82.csv",44,"NAUČNOG",163,"rec","1",1,720
"PRIDEVI_B","subject-82.csv",184,"SRLAVOJ",164,"pseudorec","3",1,839
"PRIDEVI_B","subject-82.csv",104,"ŽIVOTNOG",165,"rec","1",1,1063
"PRIDEVI_B","subject-82.csv",8,"ČITAVOG",166,"rec","1",1,633
"PRIDEVI_B","subject-82.csv",203,"FLARATOJ",167,"pseudorec","3",1,660
"PRIDEVI_B","subject-82.csv",102,"ZLOM",168,"rec","1",1,619
"PRIDEVI_B","subject-82.csv",134,"LATNOG",169,"pseudorec","1",0,538
"PRIDEVI_B","subject-82.csv",181,"CUKAVOJ",170,"pseudorec","3",1,724
"PRIDEVI_B","subject-82.csv",163,"MRGAVOM",171,"pseudorec","3",1,1309
"PRIDEVI_B","subject-82.csv",7,"ČELIČNOJ",172,"rec","1",1,940
"PRIDEVI_B","subject-82.csv",69,"PROKLETOM",173,"rec","1",1,770
"PRIDEVI_B","subject-82.csv",70,"RADOSNOJ",174,"rec","1",1,609
"PRIDEVI_B","subject-82.csv",85,"STALNOJ",175,"rec","1",1,769
"PRIDEVI_B","subject-82.csv",177,"NECNOJ",176,"pseudorec","3",1,800
"PRIDEVI_B","subject-82.csv",1,"ATOMSKOJ",177,"rec","1",1,630
"PRIDEVI_B","subject-82.csv",135,"DILAVOG",178,"pseudorec","3",1,784
"PRIDEVI_B","subject-82.csv",90,"SVETSKOM",179,"rec","1",1,721
"PRIDEVI_B","subject-82.csv",174,"BUŽNOM",180,"pseudorec","3",1,789
"PRIDEVI_B","subject-82.csv",68,"PRLJAVOG",181,"rec","1",1,651
"PRIDEVI_B","subject-82.csv",185,"VEDNOJ",182,"pseudorec","3",1,960
"PRIDEVI_B","subject-82.csv",140,"TENOKOG",183,"pseudorec","3",1,823
"PRIDEVI_B","subject-82.csv",51,"NEŽNOM",184,"rec","1",1,707
