spelling	coltheart.N	OLD20	celex.frequency	celex.cd	celex.frequency.lemma	subtlex.frequency	subtlex.cd	subtlex.frequency.lemma	subtlex.frequency.million	subtlex.log10.frequency	subtlex.cd.percentage	subtlex.log10.cd	subtlex.dominant.pos	subtlex.dominant.pos.frequency	subtlex.dominant.pos.lemma	subtlex.dominant.pos.lemma.frequency	subtlex.all.pos	subtlex.all.pos.frequency	subtlex.all.pos.lemma.frequency	summed.monogram	summed.bigram	summed.trigram	stress	nchar	nsyl	celex.morphology	celex.flection	celex.synclass
beke	4	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2675911	157137	17265	NA	NA	NA	NA	NA	NA
bekeek	2	1.9	1658	282	5688	179	162	5662	4.0934	2.2553	2.0074	2.2122	WW	178	bekijken	5653	.WW.N.	.178.1.	.5653.9.	3383686	149946	20444	1	6	2	complex	singular past	Verb
bekeerd	9	1.45	194	77	477	81	70	227	1.8523	1.9138	0.8674	1.8513	WW	80	bekeren	226	.WW.ADJ.	.80.1.	.226.1.	3709197	299171	51155	1	7	2	complex.lexicalised	participle past.positive	Adjective.Verb
beken	16	1	167	94	1942	217	168	1336	4.9623	2.3385	2.0818	2.2279	N	143	beek	347	.N.WW.	.143.74.	.347.989.	2958825	311445	97696	1	5	2	monomorphemic.undetermined	plural.singular 1p present.singular 2p present inversed	Noun.Verb
bekend	8	1.25	7259	663	12673	3927	2614	5884	89.8022	3.5942	32.3916	3.4175	ADJ	3910	bekend	4882	.ADJ.WW.N.	.3910.13.4.	.4882.995.7.	3120616	312657	71352	1	6	2	undetermined	participle past.positive	Adjective.Verb
bekendst	0	1.9	46	19	11360	3	3	4882	0.0686	0.6021	0.0372	0.6021	ADJ	3	bekend	4882	.ADJ.	.3.	.4882.	3552998	381830	71513	1	8	2	undetermined	superlative	Adjective
bekent	6	1.6	130	77	1313	249	203	5884	5.6941	2.3979	2.5155	2.3096	WW	229	bekennen	995	.WW.ADJ.N.	.229.17.3.	.995.4882.7.	3189398	288379	37085	1	6	2	undetermined	singular 2p present.singular 3p present	Verb
beker	8	1.2	367	140	620	384	216	518	8.7813	2.5855	2.6766	2.3365	N	384	beker	518	.N.	.384.	.518.	2941580	236420	42382	10	5	2	monomorphemic	singular.singular 1p present.singular 2p present inversed	Noun.Verb
bekers	6	1.5	129	67	620	85	67	518	1.9438	1.9345	0.8302	1.8325	N	85	beker	518	.N.	.85.	.518.	3143389	265594	47359	10	6	2	monomorphemic	plural	Noun
bekijk	2	1.8	252	155	5688	1465	1155	5653	33.5015	3.1661	14.3123	3.063	WW	1465	bekijken	5653	.WW.	.1465.	.5653.	2439896	109623	20294	1	6	2	complex.undetermined	singular.singular 1p present.singular 2p present inversed	Noun.Verb
bekijkt	3	1.8	484	241	5688	479	424	5653	10.9537	2.6812	5.254	2.6284	WW	479	bekijken	5653	.WW.	.479.	.5653.	2670469	144544	21503	1	7	2	complex	singular 2p present.singular 3p present	Verb
beking	8	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2703124	153013	40697	NA	NA	NA	NA	NA	NA
bekje	6	1.5	45	28	49	1	1	1	0.0229	0.301	0.0124	0.301	N	1	bekje	1	.N.	.1.	.1.	2717944	141967	16197	10	5	2	lexicalised	singular diminutive	Noun
bekjes	6	1.55	4	4	49	2	2	2252	0.0457	0.4771	0.0248	0.4771	N	2	bek	2252	.N.	.2.	.2252.	2919753	134262	26211	10	6	2	lexicalised	diminutive plural	Noun
bekken	16	1	316	101	1177	98	81	2337	2.2411	1.9956	1.0037	1.9138	N	97	bek	2336	.N.SPEC.	.97.1.	.2336.1.	3060774	318824	100248	10	6	2	monomorphemic	infinitive.plural.plural present.singular	Noun.Verb
bekkens	1	1.9	54	24	276	2	2	84	0.0457	0.4771	0.0248	0.4771	N	2	bekken	84	.N.	.2.	.84.	3262583	290140	39651	10	7	2	monomorphemic	plural	Noun
beklaagd	3	1.7	71	51	638	9	8	205	0.2058	1	0.0991	0.9542	WW	9	beklagen	205	.WW.	.9.	.205.	2976092	168643	20385	1	8	2	complex	participle past	Verb
beklag	4	1.75	94	60	94	15	15	15	0.343	1.2041	0.1859	1.2041	N	15	beklag	15	.N.	.15.	.15.	2583528	114276	16176	1	6	2	undetermined	singular	Noun
bekleed	2	1.8	300	176	782	36	34	77	0.8232	1.5682	0.4213	1.5441	WW	36	bekleden	77	.WW.	.36.	.77.	3601902	180197	20061	1	7	2	complex.lexicalised	participle past.positive.singular 1p present.singular 2p present inversed	Adjective.Verb
beklemd	3	1.75	86	66	257	6	6	18	0.1372	0.8451	0.0743	0.8451	WW	6	beklemmen	18	.WW.	.6.	.18.	3072195	142159	15974	1	7	2	complex.lexicalised	participle past.positive	Adjective.Verb
bekler	2	1.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3099954	247048	35869	NA	NA	NA	NA	NA	NA
beklom	3	1.8	155	99	547	32	29	316	0.7318	1.5185	0.3594	1.4771	WW	31	beklimmen	305	.WW.N.	.31.1.	.305.11.	2508486	102034	14901	1	6	2	complex	singular past	Verb
beklort	3	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2928609	158133	20609	NA	NA	NA	NA	NA	NA
beknam	3	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2659891	89326	12918	NA	NA	NA	NA	NA	NA
beknopt	4	1.7	107	71	238	12	11	17	0.2744	1.1139	0.1363	1.0792	ADJ	12	beknopt	17	.ADJ.	.12.	.17.	2872984	124367	14936	1	7	2	undetermined	positive	Adjective
bekraad	2	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2959091	166469	20666	NA	NA	NA	NA	NA	NA
bekrapt	5	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2882604	138853	16439	NA	NA	NA	NA	NA	NA
bekreend	1	1.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3992111	372867	63342	NA	NA	NA	NA	NA	NA
bekrijt	2	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2834189	160050	21388	NA	NA	NA	NA	NA	NA
bekroond	2	1.9	145	91	196	12	12	39	0.2744	1.1139	0.1487	1.1139	WW	12	bekronen	39	.WW.	.12.	.39.	3188275	226518	39384	1	8	2	complex	participle past	Verb
bekroop	3	1.8	77	55	165	7	7	21	0.1601	0.9031	0.0867	0.9031	WW	7	bekruipen	21	.WW.	.7.	.21.	2829074	137746	20044	1	7	2	complex	singular past	Verb
bekroort	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3239812	192029	33092	NA	NA	NA	NA	NA	NA
bekruisd	2	1.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3007532	151560	19461	NA	NA	NA	NA	NA	NA
bekwaam	0	1.8	311	158	728	124	110	188	2.8356	2.0969	1.3631	2.0453	ADJ	119	bekwaam	182	.ADJ.N.SPEC.	.119.4.1.	.182.5.1.	2646866	125514	16776	1	7	2	undetermined	positive.singular 1p present.singular 2p present inversed	Adjective.Verb
bekwat	1	1.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2570547	126990	15270	NA	NA	NA	NA	NA	NA
bekweeg	1	1.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3445149	144158	16334	NA	NA	NA	NA	NA	NA
bel	26	1	1371	323	5738	13629	4790	36081	311.6666	4.1345	59.3556	3.6804	WW	13018	bellen	35191	.WW.N.SPEC.VZ.	.13018.536.73.2.	.35191.815.73.2.	2126510	106421	19281	1	3	1	monomorphemic	singular.singular 1p present.singular 2p present inversed	Noun.Verb
belaagd	7	1.45	94	67	184	62	58	106	1.4178	1.7993	0.7187	1.7709	WW	62	belagen	106	.WW.	.62.	.106.	2874143	196872	22723	1	7	2	undetermined	participle past	Verb
belaak	3	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2690005	173425	22796	NA	NA	NA	NA	NA	NA
belaamd	6	1.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2825966	197000	21528	NA	NA	NA	NA	NA	NA
belaap	4	1.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2673560	168090	21012	NA	NA	NA	NA	NA	NA
belaart	6	1.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3084298	229032	37480	NA	NA	NA	NA	NA	NA
beland	6	1.5	225	131	768	327	301	805	7.4778	2.5159	3.7299	2.48	WW	327	belanden	805	.WW.	.327.	.805.	2801988	232431	42834	1	6	2	complex	participle past.singular 1p present.singular 2p present inversed	Verb
belang	5	1.65	8793	678	11166	1411	1093	1686	32.2666	3.1498	13.544	3.039	N	1410	belang	1685	.N.SPEC.	.1410.1.	.1685.1.	2764493	197632	32254	1	6	2	undetermined	singular.singular 1p present.singular 2p present inversed	Noun.Verb
belapt	3	1.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2673360	165329	18973	NA	NA	NA	NA	NA	NA
belast	5	1.6	948	292	1356	107	97	216	2.4469	2.0334	1.202	1.9912	WW	107	belasten	216	.WW.	.107.	.216.	2789665	220259	30670	1	6	2	complex.lexicalised	participle past.positive.singular 1p present.singular 2p present.singular 2p present inversed.singular 3p present	Adjective.Verb
beld	8	1.4	NA	NA	NA	2	2	2	0.0457	0.4771	0.0248	0.4771	WW	2	belen	2	.WW.	.2.	.2.	2288301	138034	23691	NA	NA	NA	NA	NA	NA
belde	16	1	1442	262	4292	3442	2076	35192	78.7113	3.5369	25.7249	3.3174	WW	3441	bellen	35191	.WW.VZ.	.3441.1.	.35191.1.	2894127	248158	53295	10	5	2	monomorphemic	singular past	Verb
belden	21	1	77	58	4292	209	164	35193	4.7794	2.3222	2.0322	2.2175	WW	207	bellen	35191	.WW.SPEC.	.207.2.	.35191.2.	3177041	402466	117382	10	6	2	monomorphemic	plural past	Verb
belder	10	1.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3159796	327441	60955	NA	NA	NA	NA	NA	NA
belders	6	1.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3361605	356615	65932	NA	NA	NA	NA	NA	NA
belding	3	1.8	NA	NA	NA	4	1	4	0.0915	0.699	0.0124	0.301	SPEC	3	belding	3	.SPEC.N.	.3.1.	.3.1.	2921340	208409	51679	NA	NA	NA	NA	NA	NA
belecht	4	1.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3100433	224149	42572	NA	NA	NA	NA	NA	NA
belect	2	1.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3029254	174127	24427	NA	NA	NA	NA	NA	NA
beleefd	5	1.6	1610	415	3983	765	652	1490	17.4939	2.8842	8.0793	2.8149	WW	615	beleven	1283	.WW.ADJ.	.615.150.	.1283.207.	3544193	202027	27942	1	7	2	complex.undetermined	participle past.positive	Adjective.Verb
beleeft	5	1.7	294	146	3501	62	60	1283	1.4178	1.7993	0.7435	1.7853	WW	62	beleven	1283	.WW.	.62.	.1283.	3612975	207562	28243	1	7	2	complex	singular 2p present.singular 3p present	Verb
beleeg	6	1.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3462458	193311	28113	NA	NA	NA	NA	NA	NA
beleegt	5	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3693031	214787	27875	NA	NA	NA	NA	NA	NA
beleeld	5	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3658327	256712	39423	NA	NA	NA	NA	NA	NA
beleelt	6	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3727109	255922	33856	NA	NA	NA	NA	NA	NA
beleemd	4	1.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3576072	206162	27828	NA	NA	NA	NA	NA	NA
beleg	1	1.75	249	86	619	79	67	190	1.8066	1.9031	0.8302	1.8325	N	71	beleg	71	.N.WW.SPEC.	.71.7.1.	.71.118.1.	2856632	157537	24785	1	5	2	complex.undetermined	singular.singular 1p present.singular 2p present inversed	Noun.Verb
belegd	5	1.65	133	98	370	36	35	118	0.8232	1.5682	0.4337	1.5563	WW	36	beleggen	118	.WW.	.36.	.118.	3018423	174972	24693	1	6	2	complex	participle past	Verb
beleid	7	1.65	5138	307	5138	437	305	437	9.9933	2.6415	3.7794	2.4857	N	436	beleid	436	.N.ADJ.	.436.1.	.436.1.	3119956	184493	34431	1	6	2	undetermined	singular	Noun
belen	23	1	NA	NA	NA	2	1	2	0.0457	0.4771	0.0124	0.301	SPEC	1	belen	1	.SPEC.N.	.1.1.	.1.1.	3015250	350302	101967	NA	NA	NA	NA	NA	NA
beler	11	1.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2998005	275277	43690	NA	NA	NA	NA	NA	NA
belers	7	1.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3199814	304451	48667	NA	NA	NA	NA	NA	NA
belet	4	1.65	255	133	869	54	51	148	1.2349	1.7404	0.632	1.716	WW	52	beletten	146	.WW.SPEC.	.52.2.	.146.2.	2962909	181351	25007	1	5	2	complex.undetermined	participle past.singular.singular 1p present.singular 2p present.singular 2p present inversed.singular 3p present	Noun.Verb
belg	8	1.5	158	69	422	74	31	74	1.6922	1.8751	0.3841	1.5051	SPEC	74	belg	74	.SPEC.	.74.	.74.	2250806	113637	14167	NA	NA	NA	NA	NA	NA
belge	3	1.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2856632	225217	18225	NA	NA	NA	NA	NA	NA
belgen	12	1.25	264	76	440	45	28	45	1.0291	1.6628	0.347	1.4624	SPEC	43	belgen	43	.SPEC.WW.	.43.2.	.43.2.	3139546	379525	99713	NA	NA	NA	NA	NA	NA
belgisch	1	2.65	187	73	1142	22	17	124	0.5031	1.3617	0.2107	1.2553	ADJ	22	belgisch	124	.ADJ.	.22.	.124.	2815968	187814	41009	NA	NA	NA	NA	NA	NA
belied	6	1.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3119956	203357	27088	NA	NA	NA	NA	NA	NA
beliend	6	1.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3402870	382219	71954	NA	NA	NA	NA	NA	NA
belin	5	1.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2635253	243789	28116	NA	NA	NA	NA	NA	NA
belkzand	0	2.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2932917	218084	37866	NA	NA	NA	NA	NA	NA
belle	8	1.5	104	47	112	137	46	137	3.1329	2.1399	0.57	1.6721	SPEC	137	belle	137	.SPEC.	.137.	.137.	2890710	204049	22340	10	5	2	undetermined	singular	Noun
bellen	21	1	1586	296	5738	10004	4208	36006	228.7705	4.0002	52.1437	3.6242	WW	9980	bellen	35191	.WW.N.	.9980.24.	.35191.815.	3173624	358357	101233	10	6	2	monomorphemic	infinitive.plural.plural present	Noun.Verb
belles	3	1.8	8	7	112	4	2	4	0.0915	0.699	0.0248	0.4771	SPEC	4	belles	4	.SPEC.	.4.	.4.	3092519	196344	31641	10	6	2	undetermined	plural	Noun
belocht	5	1.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2698515	204510	33730	NA	NA	NA	NA	NA	NA
beloefd	6	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3142275	174639	19797	NA	NA	NA	NA	NA	NA
beloep	4	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3021748	150412	19575	NA	NA	NA	NA	NA	NA
belom	2	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2406537	130263	17051	NA	NA	NA	NA	NA	NA
belond	6	1.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2775123	220851	37693	NA	NA	NA	NA	NA	NA
belood	6	1.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2696117	173903	20540	NA	NA	NA	NA	NA	NA
beloof	5	1.65	452	167	3297	4966	2948	10133	113.562	3.6961	36.5304	3.4697	WW	4966	beloven	10133	.WW.	.4966.	.10133.	2578566	149366	19861	1	6	2	undetermined	singular 1p present.singular 2p present inversed	Verb
beloofd	4	1.7	1045	320	3297	3077	2112	10138	70.3645	3.4883	26.171	3.3249	WW	3074	beloven	10133	.WW.ADJ.N.	.3074.2.1.	.10133.3.2.	2740357	175506	20761	1	7	2	undetermined	participle past	Verb
belooft	5	1.7	282	171	3297	472	433	10133	10.7936	2.6749	5.3656	2.6375	WW	472	beloven	10133	.WW.	.472.	.10133.	2809139	181041	20724	1	7	2	undetermined	singular 2p present.singular 3p present	Verb
belooid	4	1.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2921946	181865	23983	NA	NA	NA	NA	NA	NA
beloom	6	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2610445	157108	21155	NA	NA	NA	NA	NA	NA
beloond	5	1.65	375	191	603	213	191	457	4.8709	2.3304	2.3668	2.2833	WW	213	belonen	457	.WW.	.213.	.457.	2979031	247696	41817	1	7	2	complex	participle past	Verb
beloop	7	1.55	120	66	189	33	31	34	0.7546	1.5315	0.3841	1.5051	N	33	beloop	34	.N.	.33.	.34.	2619830	158924	22477	1	6	2	complex.undetermined	singular.singular 1p present.singular 2p present inversed	Noun.Verb
beloort	7	1.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3030568	213207	35525	NA	NA	NA	NA	NA	NA
belost	5	1.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2762800	209541	27460	NA	NA	NA	NA	NA	NA
belp	5	1.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2212014	103812	14252	NA	NA	NA	NA	NA	NA
belpt	3	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2442587	137983	15431	NA	NA	NA	NA	NA	NA
bels	9	1.3	NA	NA	NA	1	1	1	0.0229	0.301	0.0124	0.301	BW	1	bels	1	.BW.	.1.	.1.	2328319	136995	20727	NA	NA	NA	NA	NA	NA
belt	20	1	306	147	4312	2495	1735	35196	57.0554	3.3972	21.4994	3.2395	WW	2492	bellen	35193	.WW.SPEC.N.	.2492.2.1.	.35193.2.1.	2357083	137244	18124	1	4	1	monomorphemic	singular.singular 2p present.singular 3p present	Noun.Verb
belte	7	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2962909	240737	30001	NA	NA	NA	NA	NA	NA
belten	10	1.45	0	0	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3245823	395045	107224	10	6	2	monomorphemic	plural	Noun
belust	5	1.65	83	68	146	8	8	24	0.1829	0.9542	0.0991	0.9542	WW	5	belust	5	.WW.ADJ.	.5.3.	.5.19.	2641241	198598	25285	1	6	2	complex	positive	Adjective
bem	19	1	NA	NA	NA	1	1	1	0.0229	0.301	0.0124	0.301	WW	1	bem	1	.WW.	.1.	.1.	2044255	60734	11003	NA	NA	NA	NA	NA	NA
bemaag	4	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2630097	128560	16637	NA	NA	NA	NA	NA	NA
bemaagt	4	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2860670	150036	16611	NA	NA	NA	NA	NA	NA
bemaamd	6	1.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2743711	146123	15618	NA	NA	NA	NA	NA	NA
bemal	4	1.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2433402	93896	13859	NA	NA	NA	NA	NA	NA
bemand	6	1.6	123	73	337	46	42	149	1.0519	1.6721	0.5204	1.6335	WW	45	bemannen	76	.WW.N.	.45.1.	.76.73.	2719733	181554	36377	1	6	2	complex	participle past	Verb
bemeekt	1	1.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3588429	172480	20948	NA	NA	NA	NA	NA	NA
bemeelt	3	1.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3644854	204678	23987	NA	NA	NA	NA	NA	NA
bemeerd	8	1.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3683367	286784	50062	NA	NA	NA	NA	NA	NA
bemeis	2	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3077719	146883	15820	NA	NA	NA	NA	NA	NA
bemen	17	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2932995	299058	89992	NA	NA	NA	NA	NA	NA
bemend	14	1.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3094786	300270	63648	NA	NA	NA	NA	NA	NA
bemerkt	3	1.75	180	97	712	12	12	38	0.2744	1.1139	0.1487	1.1139	WW	12	bemerken	38	.WW.	.12.	.38.	3248272	249298	25026	1	7	2	complex	participle past.singular 2p present.singular 3p present	Verb
bemetst	2	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3313036	197108	28686	NA	NA	NA	NA	NA	NA
bemiest	0	1.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3308292	217578	31098	NA	NA	NA	NA	NA	NA
bemieu	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2958259	109306	12889	NA	NA	NA	NA	NA	NA
bemieuw	2	2.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2997375	115919	14503	NA	NA	NA	NA	NA	NA
bemijk	2	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2414066	107696	20435	NA	NA	NA	NA	NA	NA
bemil	4	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2428458	82384	12467	NA	NA	NA	NA	NA	NA
bemild	3	1.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2590249	113997	15334	NA	NA	NA	NA	NA	NA
bemind	6	1.6	212	119	594	84	70	302	1.9209	1.9294	0.8674	1.8513	WW	78	beminnen	229	.WW.ADJ.	.78.6.	.229.73.	2714789	185885	31387	1	6	2	complex.lexicalised	participle past.positive	Adjective.Verb
bemoei	0	1.9	116	83	1021	859	723	1698	19.6435	2.9345	8.9591	2.8597	WW	859	bemoeien	1698	.WW.	.859.	.1698.	3079818	103733	14555	1	6	2	complex	singular 1p present.singular 2p present inversed	Verb
bemoeid	2	1.8	73	62	1021	47	45	1698	1.0748	1.6812	0.5576	1.6628	WW	47	bemoeien	1698	.WW.	.47.	.1698.	3241609	143112	24899	1	7	2	complex	participle past	Verb
bemoeit	1	1.9	132	106	1021	201	193	1698	4.5964	2.3054	2.3916	2.2878	WW	201	bemoeien	1698	.WW.	.201.	.1698.	3310391	156001	19509	1	7	2	complex	singular 2p present.singular 3p present	Verb
bemoom	2	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2528190	107341	14377	NA	NA	NA	NA	NA	NA
bemot	3	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2478736	105403	12598	NA	NA	NA	NA	NA	NA
bemunt	3	1.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2640091	117117	13844	NA	NA	NA	NA	NA	NA
ben	27	1	36202	608	852032	238367	8040	1894091	5450.9525	5.3772	99.6283	3.9053	WW	235719	zijn	1891416	.WW.SPEC.N.	.235719.2645.3.	.1891416.2667.8.	2251050	267398	80682	1	3	1	monomorphemic	singular.singular 1p present.singular 2p present inversed	Noun.Verb
benaald	5	1.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3032761	294199	20987	NA	NA	NA	NA	NA	NA
benaardt	1	1.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3370629	319464	29232	NA	NA	NA	NA	NA	NA
benam	2	1.9	65	45	148	11	10	37	0.2515	1.0792	0.1239	1.0414	WW	11	benemen	37	.WW.	.11.	.37.	2557942	214199	13458	1	5	2	complex	singular past	Verb
benauwd	2	1.8	474	215	806	118	105	164	2.6984	2.0755	1.3011	2.0253	ADJ	93	benauwd	105	.ADJ.WW.	.93.25.	.105.59.	2765079	238943	14659	1	7	2	complex.lexicalised	participle past.positive	Adjective.Verb
bende	11	1.05	672	179	776	1410	841	1670	32.2437	3.1495	10.4213	2.9253	N	1370	bende	1630	.N.SPEC.TW.VZ.ADJ.	.1370.37.1.1.1.	.1630.37.1.1.1.	3018667	378734	88461	10	5	2	monomorphemic	singular	Noun
benden	19	1	66	31	776	22	16	1631	0.5031	1.3617	0.1983	1.2304	N	21	bende	1630	.N.WW.	.21.1.	.1630.1.	3301581	533042	152548	10	6	2	monomorphemic	plural	Noun
bendes	3	1.8	38	20	776	239	138	1631	5.4654	2.3802	1.71	2.143	N	238	bende	1630	.N.BW.	.238.1.	.1630.1.	3220476	371029	74353	10	6	2	monomorphemic	plural	Noun
bene	5	1.55	NA	NA	NA	31	18	31	0.7089	1.5051	0.223	1.2788	SPEC	20	bene	20	.SPEC.VNW.ADJ.	.20.8.3.	.20.8.3.	2856876	277042	15205	NA	NA	NA	NA	NA	NA
beneel	6	1.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3621076	306147	27450	NA	NA	NA	NA	NA	NA
