spelling	coltheart.N	OLD20	celex.frequency	celex.cd	celex.frequency.lemma	subtlex.frequency	subtlex.cd	subtlex.frequency.lemma	subtlex.frequency.million	subtlex.log10.frequency	subtlex.cd.percentage	subtlex.log10.cd	subtlex.dominant.pos	subtlex.dominant.pos.frequency	subtlex.dominant.pos.lemma	subtlex.dominant.pos.lemma.frequency	subtlex.all.pos	subtlex.all.pos.frequency	subtlex.all.pos.lemma.frequency	summed.monogram	summed.bigram	summed.trigram	stress	nchar	nsyl	celex.morphology	celex.flection	celex.synclass
mai	13	1	NA	NA	NA	101	20	101	2.3097	2.0086	0.2478	1.3222	SPEC	95	mai	95	.SPEC.N.	.95.6.	.95.6.	1832035	28606	3728	NA	NA	NA	NA	NA	NA
mail	4	1.6	13	16	13	147	115	290	3.3616	2.1703	1.425	2.0645	N	100	mail	162	.N.WW.SPEC.	.100.27.20.	.162.108.20.	1990409	45089	4450	1	4	1	monomorphemic	singular.singular 1p present.singular 2p present inversed	Noun.Verb
maileet	0	2.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3432634	155793	11620	NA	NA	NA	NA	NA	NA
mails	2	1.8	0	0	13	40	22	162	0.9147	1.6128	0.2726	1.3617	N	40	mail	162	.N.	.40.	.162.	2192218	75663	6820	1	5	1	monomorphemic	plural	Noun
mair	5	1.65	NA	NA	NA	1	1	1	0.0229	0.301	0.0124	0.301	SPEC	1	mair	1	.SPEC.	.1.	.1.	2097704	54682	4570	NA	NA	NA	NA	NA	NA
mairs	2	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2299513	83856	13584	NA	NA	NA	NA	NA	NA
maïs	7	1.65	344	117	344	195	102	195	4.4592	2.2923	1.2639	2.0128	N	195	maïs	195	.N.	.195.	.195.	1808016	57263	3486	1	6	1	monomorphemic	singular	Noun
maison	1	2.15	80	44	80	2	2	2	0.0457	0.4771	0.0248	0.4771	N	2	maison	2	.N.	.2.	.2.	2520666	159201	5750	1	6	2	undetermined	singular	Noun
majoor	0	2.5	1039	80	1047	2309	419	2332	52.802	3.3636	5.1921	2.6232	N	2308	majoor	2331	.N.SPEC.	.2308.1.	.2331.1.	2321724	102303	15680	1	6	2	monomorphemic	singular	Noun
majoors	0	2.6	8	8	1047	15	13	2331	0.343	1.2041	0.1611	1.1461	N	15	majoor	2331	.N.	.15.	.2331.	2523533	131477	25069	1	7	2	monomorphemic	plural	Noun
major	0	1.9	62	39	64	49	15	52	1.1205	1.699	0.1859	1.2041	SPEC	44	major	44	.SPEC.N.	.44.5.	.44.8.	2117816	75458	5671	10	5	2	monomorphemic	singular	Noun
