spelling	lexicality	rt	zscore	accuracy	rt.sd	zscore.sd	accuracy.sd	sub50.rt	sub50.zscore	sub50.accuracy	sub50.rt.sd	sub50.zscore.sd	sub50.accuracy.sd
keernant	N	654.128205128205	-0.0694062048024891	1	198.574019009640	0.878327489614042	0	654.128205128205	-0.0694062048024891	1	198.574019009640	0.878327489614042	0
keesman	N	609.973684210526	-0.349314181864808	0.974358974358974	142.335060891661	0.620507820635708	0.160128153805087	607.815789473684	-0.356360004318835	0.974358974358974	143.573666045666	0.627616051178398	0.160128153805087
keestlicht	N	724.888888888889	0.463581814508895	0.974358974358974	200.471412679183	0.958697826351999	0.160128153805087	724.888888888889	0.463581814508895	0.974358974358974	200.471412679183	0.958697826351999	0.160128153805087
keeter	N	636.342857142857	-0.0723555644888827	0.923076923076923	158.394136637088	1.06562843055197	0.269952762399508	636.342857142857	-0.0723555644888827	0.923076923076923	158.394136637088	1.06562843055197	0.269952762399508
keetjes	N	665.962962962963	0.177124718170105	0.717948717948718	141.872228941147	1.04626077785089	0.455880752454893	665.962962962963	0.177124718170105	0.717948717948718	141.872228941147	1.04626077785089	0.455880752454893
kefet	N	626.538461538462	-0.383497193928738	1	194.437765195995	0.732820047744482	0	626.538461538462	-0.383497193928738	1	194.437765195995	0.732820047744482	0
kegen	N	685.578947368421	0.00619397727058612	0.974358974358974	183.584229373162	0.776172500706146	0.160128153805087	685.578947368421	0.00619397727058612	0.974358974358974	183.584229373162	0.776172500706146	0.160128153805087
kegerg	N	623.974358974359	-0.360060835962086	1	167.872678442150	0.712020458125002	0	624.205128205128	-0.343134287971438	1	168.131242515636	0.719327723724702	0
kegert	N	637.916666666667	-0.258033299399787	0.923076923076923	158.580736535053	0.600931426176322	0.269952762399508	637.916666666667	-0.258033299399787	0.923076923076923	158.580736535053	0.600931426176322	0.269952762399508
keges	N	591.947368421053	-0.535840482206963	0.974358974358974	111.202991250946	0.53018026442821	0.160128153805087	591.947368421053	-0.535840482206963	0.974358974358974	111.202991250946	0.53018026442821	0.160128153805087
kegslom	N	612.657894736842	-0.344330664239193	1	144.436889110741	0.753854737215417	0	617.736842105263	-0.299949616929982	1	145.920875303082	0.806576621308242	0
