Subject,Age,Gender,Ita_Word,Eng_Word,Visual,Gustatory,Haptic,Olfactory,Auditory
3,23,F,CICLAMINO,cyclamen,5,0,3,5,0
3,23,F,CICLONE,cyclone,2,0,0,0,2
3,23,F,CIECO,blind,2,0,0,0,0
3,23,F,CIELO,heaven,5,0,0,0,0
3,23,F,CILIEGIO,cherry_tree,5,0,4,2,1
3,23,F,CIMITERO,cemetery,3,0,0,0,0
3,23,F,CIOCCOLATO,chocolate,5,5,2,5,0
3,23,F,CIRCO,circus,5,0,0,0,4
3,23,F,COCCOLARE,cuddle,3,0,5,0,1
3,23,F,CODARDO,coward,1,0,0,0,0
3,23,F,COLLERA,anger,3,0,0,0,3
3,23,F,COLLISIONE,crash,2,0,0,0,2
3,23,F,COLLO,neck,4,0,3,0,0
3,23,F,COLOMBO,dove,4,0,0,0,3
3,23,F,COLONNA,column,5,0,1,0,0
3,23,F,COLORE,color,5,0,0,0,0
3,23,F,COLPA,fault,0,0,0,0,0
3,23,F,COLPEVOLE,guilty,0,0,0,0,0
3,23,F,COLPIRE,hit,4,0,4,0,3
3,23,F,COLTELLO,knife,5,0,5,2,1
3,23,F,COMFORT,comfort,3,0,4,0,1
3,23,F,COMMEDIA,comedy,4,0,0,0,2
3,23,F,COMMISSIONE,errand,1,0,0,0,1
3,23,F,COMODINO,bedside_table,4,0,3,0,0
3,23,F,COMPLEANNO,birthday,2,0,0,0,4
3,23,F,COMPUTER,computer,5,0,4,0,3
3,23,F,CONCENTRARSI,concentrate,0,0,0,0,0
3,23,F,CONFUSO,confused,3,1,1,1,3
3,23,F,CONIGLIETTO,bunny,4,0,4,1,2
3,23,F,CONIGLIO,rabbit,5,2,4,2,2
3,23,F,CONOSCENZA,knowledge,0,0,0,0,2
3,23,F,CONSOLATO,consoled,0,0,0,0,1
3,23,F,CONTANTE,cash,1,0,1,0,0
3,23,F,CONTENUTO,contents,4,0,4,0,0
3,23,F,CONTESTO,context,5,0,0,0,3
3,23,F,COPPIA,couple,5,1,5,2,3
3,23,F,CORAGGIOSO,brave,3,0,0,0,2
3,23,F,CORDA,cord,4,0,2,0,0
3,23,F,CORNICE,frame,3,0,1,0,0
3,23,F,CORONA,crown,5,0,5,0,0
3,23,F,CORPO,body,5,5,5,5,5
3,23,F,CORRIDOIO,corridor,5,0,0,0,0
3,23,F,CORRIDORE,runner,5,0,0,0,3
3,23,F,CORROTTO,corrupt,0,0,0,0,0
3,23,F,CORTESE,kind,2,0,1,0,2
3,23,F,CORTESIA,politeness,2,0,0,0,4
3,23,F,COSTA,coast,5,0,2,1,4
3,23,F,CRANIO,skull,4,0,2,0,0
3,23,F,CREDENZA,cupboard,4,0,2,0,0
3,23,F,CREPUSCOLO,twilight,5,0,0,0,0
3,23,F,CRIMINALE,criminal,2,0,0,0,1
3,23,F,CRIMINE,crime,1,0,0,0,0
3,23,F,CRISI,crisis,2,0,0,0,2
3,23,F,CROCIFIGGERE,crucify,3,0,0,0,3
3,23,F,CRUDELE,cruel,5,0,0,0,2
3,23,F,CUCCHIAIO,spoon,5,1,4,0,1
3,23,F,CUCCIOLO,puppy,4,0,2,0,3
3,23,F,CUCINA,cuisine,3,4,1,3,1
3,23,F,CUCINARE,cook,4,3,3,4,2
3,23,F,CUORE,heart,0,0,0,0,4
3,23,F,CURIOSO,curious,5,0,0,0,0
3,23,F,CUSCINO,pillow,4,0,4,1,0
3,23,F,DANNEGGIARE,impair,2,0,4,0,1
3,23,F,DANNO,damage,3,0,0,0,0
3,23,F,DEBITO,debt,0,0,0,0,1
3,23,F,DEBOLE,feeble,3,0,2,0,2
3,23,F,DECOMPORSI,decompose,5,0,0,5,0
3,23,F,DECORARE,decorate,4,0,2,0,0
3,23,F,DEFORME,deformed,5,0,4,0,0
3,23,F,DELIZIA,delight,3,5,0,4,3
3,23,F,DELUDERE,disappoint,0,0,0,0,0
3,23,F,DEMONIO,demon,0,0,0,0,0
3,23,F,DENARO,money,5,0,5,2,2
3,23,F,DENTISTA,dentist,5,2,4,1,3
3,23,F,DEPRESSIONE,depression,1,0,0,0,1
3,23,F,DEPRESSO,depressed,3,0,0,0,3
3,23,F,DERIDERE,tease,2,0,0,0,2
3,23,F,DESIDERIO,wish,0,0,0,0,0
3,23,F,DETESTARE,detest,1,0,0,0,3
3,23,F,DETTAGLIO,detail,4,0,3,0,1
3,23,F,DEVOTO,devoted,4,0,0,0,3
3,23,F,DIAMANTE,diamond,2,0,2,0,0
3,23,F,DIAVOLO,devil,0,0,0,0,0
3,23,F,DIGNITOSO,dignified,4,0,0,0,0
3,23,F,DIO,god,0,0,0,0,0
3,23,F,DIPENDENTE,addicted,1,0,0,0,0
3,23,F,DIPLOMA,diploma,3,0,3,1,0
3,23,F,DISASTRO,disaster,2,0,0,0,2
3,23,F,DISCARICA,dump,4,0,0,4,2
3,23,F,DISDEGNO,scorn,0,0,0,0,1
3,23,F,DISERTORE,deserter,1,0,0,0,3
3,23,F,DISGUSTATO,disgusted,2,0,0,0,2
3,23,F,DISINCANTATO,blase,1,0,0,0,1
3,23,F,DISINVOLTO,nonchalant,2,0,0,0,1
3,23,F,DISORDINATO,messy,4,0,2,0,0
3,23,F,DISPERATO,despairing,3,0,0,0,3
3,23,F,DISPETTO,mischief,2,0,0,0,2
3,23,F,DISPIACIUTO,displeased,2,0,0,0,2
3,23,F,DISPREZZARE,despise,0,0,0,0,0
3,23,F,DISPREZZO,contempt,2,0,0,0,2
3,23,F,DISTACCATO,detached,3,0,2,0,0
3,23,F,DISTANTE,aloof,4,0,2,0,0
3,23,F,DISTRUGGERE,destroy,1,0,0,0,1
3,23,F,DISTRUZIONE,destruction,2,0,0,0,2
3,23,F,DISTURBARE,disturb,0,0,0,0,2
3,23,F,DITO,finger,5,1,5,0,0
3,23,F,DIVANO,sofa,5,0,5,1,0
3,23,F,DIVERTIMENTO,fun,1,0,0,0,1
3,23,F,DIVORZIO,divorce,2,0,0,0,2
3,23,F,DOLLARO,dollar,5,0,5,1,1
