"participant_id","trial_id","stimulus","trial_order","lexicality","response","accuracy","rt"
"s1.dat","t83","ZAVESA",89,"rec","3",1,621
"s1.dat","t37","ADŽUN",90,"rec","None",0,NA
"s1.dat","t37","ADUBOP",90,"rec","None",0,NA
"s1.dat","t195","SVEKAN",92,"pseudorec","3",1,1071
"s1.dat","t195","TOTEK",92,"pseudorec","3",1,1071
"s1.dat","t12","RIMEN",93,"rec","3",0,NA
"s1.dat","t12","ĆOMOP",93,"rec","3",0,NA
"s1.dat","t91","UCENA",94,"rec","3",1,741
"s1.dat","t91","NABOJ",94,"rec","3",1,741
"s1.dat","t19","ARIKES",95,"rec","None",0,NA
"s1.dat","t19","AJIKAR",95,"rec","None",0,NA
"s1.dat","t64","PRETNJA",97,"rec","3",1,641
"s1.dat","t64","MILOST",97,"rec","3",1,641
"s1.dat","t209","ARGOP",98,"pseudorec","None",0,NA
"s1.dat","t209","HARAK",98,"pseudorec","None",0,NA
"s1.dat","t65","SAVEST",100,"rec","3",1,551
"s1.dat","t65","IDEJA",100,"rec","3",1,551
"s1.dat","t30","AVALG",101,"rec","3",1,1072
"s1.dat","t30","AVART",101,"rec","3",1,1072
"s1.dat","t117","KVAKA",102,"rec","3",1,681
"s1.dat","t117","ŠERPA",102,"rec","3",1,681
"s1.dat","t211","KEPEN",103,"pseudorec","None",0,NA
"s1.dat","t211","FLUOŠ",103,"pseudorec","None",0,NA
"s1.dat","t122","PREGIT",105,"pseudorec","3",1,1192
"s1.dat","t122","FETUP",105,"pseudorec","3",1,1192
"s1.dat","t170","PORTIN",106,"pseudorec","None",0,NA
"s1.dat","t170","{ESTAM",106,"pseudorec","None",0,NA
"s1.dat","t28","ADAVIL",108,"rec","3",1,902
"s1.dat","t28","AKILS",108,"rec","3",1,902
"s1.dat","t188","TENOZ",109,"pseudorec","None",0,NA
"s1.dat","t188","KOKTEZ",109,"pseudorec","None",0,NA
"s1.dat","t88","ZGRADA",111,"rec","3",1,521
"s1.dat","t88","KNJIGA",111,"rec","3",1,521
"s1.dat","t229","REBUL",112,"pseudorec","3",1,941
"s1.dat","t229","NABOH",112,"pseudorec","3",1,941
"s1.dat","t127","JAJNIL",113,"pseudorec","None",0,NA
"s1.dat","t127","RATLUZ",113,"pseudorec","None",0,NA
"s1.dat","t182","CVETIL",115,"pseudorec","None",0,NA
"s1.dat","t182","DOLAŠ",115,"pseudorec","None",0,NA
"s1.dat","t237","IZDAP",117,"pseudorec","3",1,1312
"s1.dat","t237","FAGOH",117,"pseudorec","3",1,1312
"s1.dat","t51","ZEMKEP",118,"rec","3",0,NA
"s1.dat","t51","NARAŠ",118,"rec","3",0,NA
"s1.dat","t236","UMWAF",119,"pseudorec","None",0,NA
"s1.dat","t236","HR~AN",119,"pseudorec","None",0,NA
"s1.dat","t11","SONAZ",121,"rec","3",1,1372
"s1.dat","t11","OASIMS",121,"rec","3",1,1372
"s1.dat","t102","LJUTNJA",122,"rec","3",1,871
"s1.dat","t102","PROFIT",122,"rec","3",1,871
"s1.dat","t145","TREZOB",123,"pseudorec","3",1,1171
"s1.dat","t145","HAMEŠ",123,"pseudorec","3",1,1171
"s1.dat","t15","OASIM",124,"rec","3",1,971
"s1.dat","t15","AGANS",124,"rec","3",1,971
"s1.dat","t103","FIZIKA",125,"rec","3",1,772
"s1.dat","t103","NEDELO",125,"rec","3",1,772
"s1.dat","t54","NVOLK",126,"rec","3",1,911
"s1.dat","t54","AKUTŠ",126,"rec","3",1,911
"s1.dat","t99","OTKAZ",127,"rec","3",1,571
"s1.dat","t99","ZAKUP",127,"rec","3",1,571
"s1.dat","t208","GREJAP",128,"pseudorec","3",1,1091
"s1.dat","t208","TIKEN",128,"pseudorec","3",1,1091
"s1.dat","t94","TRENJE",129,"rec","3",1,671
"s1.dat","t94","DEOBA",129,"rec","3",1,671
"s1.dat","t113","ALATKA",130,"rec","3",1,601
"s1.dat","t113","ZEBRA",130,"rec","3",1,601
"s1.dat","t181","SOMUH",131,"pseudorec","None",0,NA
"s1.dat","t181","TANIH",131,"pseudorec","None",0,NA
"s1.dat","t124","SVIWAB",133,"pseudorec","None",0,NA
"s1.dat","t124","SPANAR",133,"pseudorec","None",0,NA
"s1.dat","t178","MANGUD",135,"pseudorec","None",0,NA
"s1.dat","t178","STALAV",135,"pseudorec","None",0,NA
"s1.dat","t86","KREVET",137,"rec","3",1,551
"s1.dat","t86","LOPTA",137,"rec","3",1,551
"s1.dat","t40","TKEPSA",138,"rec","3",0,NA
"s1.dat","t40","TLOVER",138,"rec","3",0,NA
"s1.dat","t222","BAROL",139,"pseudorec","None",0,NA
"s1.dat","t222","TREGEN",139,"pseudorec","None",0,NA
"s1.dat","t159","MALEG",141,"pseudorec","3",1,931
"s1.dat","t159","MADAZ",141,"pseudorec","3",1,931
"s1.dat","t135","LEMUK",142,"pseudorec","3",1,922
"s1.dat","t135","FALUČ",142,"pseudorec","3",1,922
"s1.dat","t183","POGAJ",143,"pseudorec","3",1,1392
"s1.dat","t183","GURMAB",143,"pseudorec","3",1,1392
"s1.dat","t14","OASOP",144,"rec","3",1,1292
"s1.dat","t14","HARTS",144,"rec","3",1,1292
"s1.dat","t138","MAGNEG",145,"pseudorec","3",1,1493
"s1.dat","t138","KAPLAB",145,"pseudorec","3",1,1493
"s1.dat","t58","EZAKAM",146,"rec","3",0,NA
"s1.dat","t58","ANANAB",146,"rec","3",0,NA
"s1.dat","t203","TAPIZ",147,"pseudorec","3",1,1382
"s1.dat","t203","KONDOP",147,"pseudorec","3",1,1382
"s1.dat","t57","RESKE",148,"rec","None",0,NA
"s1.dat","t57","SOKOK",148,"rec","None",0,NA
"s1.dat","t71","SLUTNJA",150,"rec","3",1,630
"s1.dat","t71","RAZVOJ",150,"rec","3",1,630
"s1.dat","t199","BORDEP",151,"pseudorec","None",0,NA
"s1.dat","t199","KLIPAĆ",151,"pseudorec","None",0,NA
"s1.dat","t175","UDOVAL",153,"pseudorec","None",0,NA
"s1.dat","t175","AKCENAŠ",153,"pseudorec","None",0,NA
"s1.dat","t20","ALEPIC",155,"rec","3",1,1332
"s1.dat","t20","CANOK",155,"rec","3",1,1332
"s1.dat","t68","IZRAZ",156,"rec","3",1,732
"s1.dat","t68","UTISAK",156,"rec","3",1,732
"s1.dat","t166","SVETAF",157,"pseudorec","3",1,1402
"s1.dat","t166","BIOLOR",157,"pseudorec","3",1,1402
"s1.dat","t158","KAJAC",158,"pseudorec","3",1,1482
"s1.dat","t158","}EVAK",158,"pseudorec","3",1,1482
"s1.dat","t61","NEMOĆ",159,"rec","None",0,NA
"s1.dat","t61","SUDBA",159,"rec","None",0,NA
"s1.dat","t38","AREFA",161,"rec","3",1,1352
"s1.dat","t38","AMGOD",161,"rec","3",1,1352
"s1.dat","t172","MASEF",162,"pseudorec","3",1,1452
"s1.dat","t172","LIMIR",162,"pseudorec","3",1,1452
"s1.dat","t53","ALCINŠ",163,"rec","3",1,1231
"s1.dat","t53","AMALAS",163,"rec","3",1,1231
"s1.dat","t213","DOSLUZ",164,"pseudorec","3",1,1051
"s1.dat","t213","ODVOC",164,"pseudorec","3",1,1051
"s1.dat","t66","PERIOD",165,"rec","3",1,761
