Target;Prime;ID;hand;age;gender;resp;RTs;resp_corr;accuracy
abito;donna;19;DX;20;F;1;0,550665;1;1
abito;donna;50;DX;22;F;0;0,813;1;0
abito;donna;2;DX;27;F;1;0,547;1;1
abito;donna;61;DX;25;M;0;0,620705;1;0
abito;donna;3;DX;21;F;1;0,49811;1;1
abito;donna;58;DX;33;F;1;0,51341;1;1
abito;donna;65;DX;35;F;1;0,567005;1;1
abito;donna;48;DX;21;F;1;0,79978;1;1
abito;donna;56;SX;22;M;1;0,55841;1;1
abito;donna;55;DX;20;F;1;0,758805;1;1
acore;ulivo;32;DX;24;F;0;0,735575;0;1
acore;ulivo;34;DX;22;F;0;0,818905;0;1
acore;ulivo;31;DX;27;F;0;0,58638;0;1
acore;ulivo;40;DX;23;F;0;0,801;0;1
acore;ulivo;37;DX;20;F;0;0,738645;0;1
acore;ulivo;5;DX;24;F;1;0,476775;0;0
acore;ulivo;21;DX;24;F;0;0,772685;0;1
acore;ulivo;67;DX;24;M;0;0,78627;0;1
acore;ulivo;17;DX;23;F;0;0,68104;0;1
acore;ulivo;63;DX;22;F;0;1,20029;0;1
acore;ulivo;15;DX;23;F;0;0,603155;0;1
acore;ulivo;75;DX;24;F;0;0,550205;0;1
acore;ulivo;46;DX;22;F;0;0,605075;0;1
acore;ulivo;42;DX;23;M;0;0,60132;0;1
acore;ulivo;72;DX;20;F;0;0,835;0;1
acore;ulivo;27;DX;22;F;0;0,708035;0;1
acore;ulivo;45;DX;21;F;0;0,696525;0;1
acore;ulivo;57;DX;29;F;0;0,684;0;1
acore;ulivo;73;SX;21;F;0;0,61636;0;1
acore;ulivo;43;DX;22;M;0;0,613635;0;1
acore;ulivo;13;DX;20;M;0;0,60204;0;1
acore;ulivo;28;DX;24;F;0;0,615;0;1
acore;ulivo;38;DX;20;F;0;1,050035;0;1
acore;ulivo;19;DX;20;F;0;0,746675;0;1
acore;ulivo;14;DX;21;M;0;0,65;0;1
acore;ulivo;65;DX;35;F;0;1,13377;0;1
acore;ulivo;11;DX;23;M;0;1,32748;0;1
acore;ulivo;49;DX;21;F;0;0,60034;0;1
acore;ulivo;53;DX;25;F;1;0,034715;0;0
acore;ulivo;9;DX;26;F;0;0,901375;0;1
acore;ulivo;61;DX;25;M;0;0,98707;0;1
acore;ulivo;2;DX;27;F;0;0,67;0;1
acore;ulivo;35;DX;23;m;0;0,787;0;1
acore;ulivo;30;DX;27;F;0;1,117525;0;1
acore;ulivo;33;DX;22;M;0;0,683;0;1
acore;ulivo;1;DX;21;M;0;1,332;0;1
acore;ulivo;48;DX;21;F;0;0,97199;0;1
acore;ulivo;52;DX;22;F;0;0,712;0;1
acore;ulivo;24;DX;22;F;0;0,66487;0;1
acore;ulivo;56;SX;22;M;0;0,57436;0;1
acore;ulivo;71;DX;21;M;0;0,515085;0;1
acore;ulivo;64;DX;24;M;0;1,450185;0;1
acore;ulivo;74;DX;24;M;0;0,78166;0;1
acore;ulivo;10;DX;23;F;0;0,448005;0;1
acore;ulivo;51;DX;25;M;0;0,88729;0;1
acore;ulivo;3;DX;21;F;0;0,565;0;1
acore;ulivo;70;DX;24;F;0;0,782865;0;1
acore;ulivo;69;DX;24;F;0;1,368065;0;1
acore;ulivo;39;DX;28;F;0;0,575095;0;1
acore;ulivo;50;DX;22;F;1;0,537;0;0
acore;ulivo;12;DX;23;M;0;0,48676;0;1
acore;ulivo;26;DX;21;F;0;0,868895;0;1
acore;ulivo;25;DX;21;F;0;0,58992;0;1
acore;ulivo;36;DX;21;M;0;0,750515;0;1
acore;ulivo;62;SX;24;M;1;0,798385;0;0
acore;ulivo;6;DX;30;F;0;0,703435;0;1
acore;ulivo;58;DX;33;F;0;1,11441;0;1
acore;ulivo;7;DX;21;F;0;0,666975;0;1
acore;ulivo;68;DX;23;F;0;0,6174;0;1
acore;ulivo;23;DX;22;M;0;0,62568;0;1
acore;ulivo;47;DX;22;F;0;0,66487;0;1
acore;ulivo;29;DX;24;F;0;0,73355;0;1
acore;ulivo;44;DX;24;M;0;0,597475;0;1
acore;ulivo;54;DX;26;F;0;0,86376;0;1
acore;ulivo;55;DX;20;F;0;0,68621;0;1
acore;ulivo;66;SX;23;F;0;0,600825;0;1
acore;ulivo;8;SX;21;F;0;0,67755;0;1
acore;ulivo;4;DX;30;M;0;0,73394;0;1
acore;ulivo;41;DX;23;M;0;0,567915;0;1
acore;ulivo;22;DX;23;F;0;0,812355;0;1
acore;ulivo;59;DX;22;F;0;0,93419;0;1
acore;ulivo;20;DX;22;F;0;0,54419;0;1
acore;ulivo;18;DX;23;F;0;0,74535;0;1
acore;ulivo;60;DX;20;F;1;0,41714;0;0
acore;ulivo;16;DX;27;F;0;0,9249;0;1
adulto;pugile;59;DX;22;F;1;0,650515;1;1
adulto;pugile;17;DX;23;F;1;0,496275;1;1
adulto;pugile;26;DX;21;F;1;0,70213;1;1
adulto;pugile;25;DX;21;F;1;0,46499;1;1
adulto;pugile;14;DX;21;M;1;0,602;1;1
adulto;pugile;71;DX;21;M;1;0,655045;1;1
adulto;pugile;13;DX;20;M;1;0,47702;1;1
adulto;pugile;49;DX;21;F;1;0,54739;1;1
adulto;pugile;21;DX;24;F;1;0,55743;1;1
adulto;pugile;41;DX;23;M;1;0,61188;1;1
adulto;pugile;18;DX;23;F;1;0,503905;1;1
adulto;pugile;16;DX;27;F;1;0,60149;1;1
adulto;pugile;61;DX;25;M;1;0,640715;1;1
adulto;pugile;67;DX;24;M;1;0,629725;1;1
adulto;pugile;15;DX;23;F;1;0,55314;1;1
adulto;pugile;50;DX;22;F;1;0,53;1;1
adulto;pugile;64;DX;24;M;1;0,59946;1;1
adulto;pugile;27;DX;22;F;1;0,508015;1;1
adulto;pugile;8;SX;21;F;1;0,80381;1;1
adulto;pugile;10;DX;23;F;1;0,54705;1;1
adulto;pugile;44;DX;24;M;1;0,5592;1;1
adulto;pugile;33;DX;22;M;1;1,266;1;1
adulto;pugile;31;DX;27;F;1;0,63562;1;1
adulto;pugile;47;DX;22;F;1;0,529315;1;1
adulto;pugile;2;DX;27;F;1;0,767;1;1
adulto;pugile;34;DX;22;F;1;0,57659;1;1
adulto;pugile;4;DX;30;M;1;0,60017;1;1
adulto;pugile;39;DX;28;F;1;0,10076;1;1
adulto;pugile;43;DX;22;M;1;0,41295;1;1
adulto;pugile;51;DX;25;M;1;0,584355;1;1
adulto;pugile;45;DX;21;F;1;0,38928;1;1
adulto;pugile;52;DX;22;F;1;0,665;1;1
adulto;pugile;57;DX;29;F;1;0,633405;1;1
adulto;pugile;6;DX;30;F;1;0,551725;1;1
adulto;pugile;32;DX;24;F;1;0,446785;1;1
adulto;pugile;30;DX;27;F;1;0,05222;1;1
adulto;pugile;53;DX;25;F;1;0,56286;1;1
adulto;pugile;72;DX;20;F;1;0,78;1;1
adulto;pugile;3;DX;21;F;1;0,49096;1;1
adulto;pugile;24;DX;22;F;1;0,08805;1;1
adulto;pugile;65;DX;35;F;1;0,54828;1;1
adulto;pugile;7;DX;21;F;1;0,68606;1;1
adulto;pugile;36;DX;21;M;1;0,552505;1;1
adulto;pugile;46;DX;22;F;1;0,55107;1;1
adulto;pugile;38;DX;20;F;1;0,661015;1;1
adulto;pugile;54;DX;26;F;1;0,59458;1;1
adulto;pugile;28;DX;24;F;1;0,632;1;1
adulto;pugile;55;DX;20;F;1;1,6808;1;1
adulto;pugile;62;SX;24;M;1;0,47118;1;1
adulto;pugile;40;DX;23;F;1;0,761;1;1
adulto;pugile;69;DX;24;F;1;0,52195;1;1
adulto;pugile;5;DX;24;F;1;0,5061;1;1
adulto;pugile;63;DX;22;F;1;0,633625;1;1
adulto;pugile;48;DX;21;F;1;1,164565;1;1
adulto;pugile;29;DX;24;F;1;0,59901;1;1
adulto;pugile;68;DX;23;F;1;0,83999;1;1
adulto;pugile;66;SX;23;F;1;0,735305;1;1
adulto;pugile;60;DX;20;F;1;0,550555;1;1
adulto;pugile;23;DX;22;M;1;0,585405;1;1
adulto;pugile;42;DX;23;M;1;0,848715;1;1
adulto;pugile;1;DX;21;M;1;0,673;1;1
adulto;pugile;70;DX;24;F;1;0,58282;1;1
adulto;pugile;9;DX;26;F;1;0,652665;1;1
adulto;pugile;35;DX;23;m;1;0,636;1;1
adulto;pugile;74;DX;24;M;1;0,71285;1;1
adulto;pugile;56;SX;22;M;1;0,625205;1;1
adulto;pugile;22;DX;23;F;1;0,46207;1;1
adulto;pugile;11;DX;23;M;1;0,82238;1;1
adulto;pugile;37;DX;20;F;1;0,53357;1;1
adulto;pugile;73;SX;21;F;1;0,569905;1;1
adulto;pugile;12;DX;23;M;1;0,36309;1;1
adulto;pugile;20;DX;22;F;1;0,484555;1;1
adulto;pugile;75;DX;24;F;1;0,61542;1;1
adulto;pugile;58;DX;33;F;1;0,66552;1;1
adulto;pugile;19;DX;20;F;1;0,52976;1;1
armadio;idrante;45;DX;21;F;1;0,78624;1;1
armadio;idrante;63;DX;22;F;1;1,16569;1;1
armadio;idrante;46;DX;22;F;1;0,498735;1;1
armadio;idrante;66;SX;23;F;1;0,54217;1;1
armadio;idrante;7;DX;21;F;1;0,537575;1;1
armadio;idrante;52;DX;22;F;1;0,652;1;1
armadio;idrante;43;DX;22;M;1;0,537235;1;1
armadio;idrante;40;DX;23;F;1;0,643;1;1
armadio;idrante;51;DX;25;M;1;0,602415;1;1
armadio;idrante;10;DX;23;F;1;0,429365;1;1
armadio;idrante;75;DX;24;F;1;0,735605;1;1
armadio;idrante;1;DX;21;M;1;0,868;1;1
armadio;idrante;25;DX;21;F;1;0,466495;1;1
armadio;idrante;62;SX;24;M;1;0,587735;1;1
armadio;idrante;2;DX;27;F;1;0,631;1;1
armadio;idrante;28;DX;24;F;1;0,68;1;1
armadio;idrante;59;DX;22;F;1;0,977855;1;1
armadio;idrante;12;DX;23;M;1;0,575335;1;1
armadio;idrante;69;DX;24;F;1;0,68497;1;1
armadio;idrante;16;DX;27;F;1;0,53158;1;1
armadio;idrante;72;DX;20;F;1;0,646;1;1
armadio;idrante;37;DX;20;F;1;0,687775;1;1
armadio;idrante;8;SX;21;F;1;0,5337;1;1
armadio;idrante;26;DX;21;F;1;0,840275;1;1
armadio;idrante;6;DX;30;F;1;0,67092;1;1
armadio;idrante;65;DX;35;F;1;0,600645;1;1
armadio;idrante;17;DX;23;F;1;0,79942;1;1
armadio;idrante;56;SX;22;M;1;0,71501;1;1
armadio;idrante;57;DX;29;F;1;0,75641;1;1
armadio;idrante;14;DX;21;M;1;0,527;1;1
armadio;idrante;53;DX;25;F;1;0,494765;1;1
armadio;idrante;13;DX;20;M;1;0,516815;1;1
armadio;idrante;36;DX;21;M;1;0,767575;1;1
armadio;idrante;31;DX;27;F;1;0,799225;1;1
armadio;idrante;20;DX;22;F;1;0,488795;1;1
armadio;idrante;18;DX;23;F;1;0,570175;1;1
armadio;idrante;34;DX;22;F;1;0,56364;1;1
armadio;idrante;49;DX;21;F;1;0,73422;1;1
armadio;idrante;61;DX;25;M;1;0,59068;1;1
armadio;idrante;48;DX;21;F;1;1,02011;1;1
armadio;idrante;9;DX;26;F;1;0,63455;1;1
armadio;idrante;74;DX;24;M;1;0,576555;1;1
armadio;idrante;70;DX;24;F;1;0,52215;1;1
armadio;idrante;23;DX;22;M;1;0,77049;1;1
armadio;idrante;71;DX;21;M;0;0,555855;1;0
armadio;idrante;15;DX;23;F;1;0,57907;1;1
armadio;idrante;44;DX;24;M;1;0,69454;1;1
armadio;idrante;3;DX;21;F;1;0,56601;1;1
armadio;idrante;39;DX;28;F;0;0,595105;1;0
armadio;idrante;55;DX;20;F;1;0,687145;1;1
armadio;idrante;60;DX;20;F;1;0,448125;1;1
armadio;idrante;58;DX;33;F;1;0,484985;1;1
armadio;idrante;35;DX;23;m;1;0,742;1;1
armadio;idrante;4;DX;30;M;1;0,650755;1;1
armadio;idrante;27;DX;22;F;1;0,527305;1;1
armadio;idrante;41;DX;23;M;1;0,641515;1;1
armadio;idrante;68;DX;23;F;1;0,88458;1;1
armadio;idrante;38;DX;20;F;1;0,73194;1;1
armadio;idrante;54;DX;26;F;1;0,444245;1;1
armadio;idrante;21;DX;24;F;1;0,54886;1;1
armadio;idrante;50;DX;22;F;1;0,516;1;1
armadio;idrante;32;DX;24;F;1;0,44746;1;1
armadio;idrante;22;DX;23;F;1;0,500015;1;1
armadio;idrante;33;DX;22;M;1;0,449;1;1
armadio;idrante;67;DX;24;M;1;0,695525;1;1
armadio;idrante;64;DX;24;M;1;0,603255;1;1
armadio;idrante;42;DX;23;M;1;0,622445;1;1
armadio;idrante;73;SX;21;F;1;0,43334;1;1
armadio;idrante;24;DX;22;F;1;0,538295;1;1
armadio;idrante;5;DX;24;F;0;0,616935;1;0
armadio;idrante;29;DX;24;F;1;0,568705;1;1
armadio;idrante;30;DX;27;F;1;0,63342;1;1
armadio;idrante;47;DX;22;F;1;0,651115;1;1
armadio;idrante;19;DX;20;F;1;0,68507;1;1
armadio;idrante;11;DX;23;M;1;1,85805;1;1
ascensore;industria;67;DX;24;M;1;0,60423;1;1
