participant_id,rt,response,response_corrected,age,participant_age_group,gender
1103,391142.6984126984,esel,esel,27,younger,male
1103,394921.72335600905,kamel,kamel,27,younger,male
1103,398161.9954648526,lama,lama,27,younger,male
1103,427249.7732426304,papagei,papagei,27,younger,male
1103,446032.0408163265,rabe,rabe,27,younger,male
1103,451357.55102040817,golden retriever,golden retriever,27,younger,male
1103,510747.3922902494,lachs,lachs,27,younger,male
1103,511347.1655328798,forelle,forelle,27,younger,male
1103,522009.7278911565,bachstelze,bachstelze,27,younger,male
1103,527014.081632653,spatz,spatz,27,younger,male
1103,534212.9931972789,erdmännchen,erdmännchen,27,younger,male
1103,539087.3015873015,hyäne,hyäne,27,younger,male
1103,545410.3174603175,wildschwein,wildschwein,27,younger,male
1103,557916.6213151928,geier,geier,27,younger,male
1103,572393.3333333334,dalmatiner,dalmatiner,27,younger,male
1104,108.43537414965986,elefant,elefant,29,younger,female
1104,1242.81179138322,giraffe,giraffe,29,younger,female
1104,2750.15873015873,hund,hund,29,younger,female
1104,3995.124716553288,katze,katze,29,younger,female
1104,5413.424036281179,vogel,vogel,29,younger,female
1104,6889.115646258504,wellensittich,wellensittich,29,younger,female
1104,8562.131519274377,dalmatiner,dalmatiner,29,younger,female
1104,9995.804988662132,cocker spaniel,cockerspaniel,29,younger,female
1104,12641.519274376416,nashorn,nashorn,29,younger,female
1104,15197.00680272109,eidechse,eidechse,29,younger,female
1104,16644.78458049887,kröte,kröte,29,younger,female
1104,18467.913832199545,frosch,frosch,29,younger,female
1104,22302.290249433107,fisch,fisch,29,younger,female
1104,23626.28117913832,delfin,delfin,29,younger,female
1104,25375.056689342404,hai,hai,29,younger,female
1104,27095.351473922903,wal,wal,29,younger,female
1104,30887.50566893424,albatros,albatros,29,younger,female
1104,32543.219954648528,möwe,möwe,29,younger,female
1104,35029.63718820862,tiger,tiger,29,younger,female
1104,36778.4126984127,löwe,löwe,29,younger,female
1104,39878.34467120182,leopard,leopard,29,younger,female
1104,41622.426303854874,gepard,gepard,29,younger,female
1104,43330.31746031746,papagei,papagei,29,younger,female
1104,45324.26303854876,ameise,ameise,29,younger,female
1104,55703.28798185941,fuchs,fuchs,29,younger,female
1104,58625.85034013606,elefant,elefant,29,younger,female
1104,62369.04761904762,antilope,antilope,29,younger,female
1104,66261.26984126984,dromedar,dromedar,29,younger,female
1104,68208.04988662132,kamel,kamel,29,younger,female
1104,70058.04988662132,nilpferd,nilpferd,29,younger,female
1104,72234.92063492064,forelle,forelle,29,younger,female
1104,74072.44897959183,lachs,lachs,29,younger,female
1104,83135.623582766435,stabheuschrecke,stabheuschrecke,29,younger,female
1104,88187.52834467121,wal,wal,29,younger,female
1104,90059.1156462585,buckelwal,buckelwal,29,younger,female
1104,91991.38321995466,blauwal,blauwal,29,younger,female
1104,93747.84580498868,killerwal,killerwal,29,younger,female
1104,96706.09977324263,orcawal,orca,29,younger,female
1104,104067.4149659864,kakadu,kakadu,29,younger,female
1104,105662.63038548752,flamingo,flamingo,29,younger,female
1104,110222.51700680272,nymphensittich,nymphensittich,29,younger,female
1104,113847.91383219956,rochen,rochen,29,younger,female
1104,116304.08163265306,krake,krake,29,younger,female
1104,118566.53061224493,oktopus,oktopus,29,younger,female
1104,124814.03628117914,tintenfisch,tintenfisch,29,younger,female
1104,129343.28798185942,seestern,seestern,29,younger,female
1104,136905.87301587302,biber,biber,29,younger,female
1104,139661.90476190476,made,made,29,younger,female
1104,143647.2335600907,luchs,luchs,29,younger,female
1104,151023.08390022675,affe,affe,29,younger,female
1104,152758.6621315193,koalabär,koalabär,29,younger,female
1104,154806.89342403627,orang-utan,orang-utan,29,younger,female
1104,157071.2471655329,schimpanse,schimpanse,29,younger,female
1104,159557.95918367346,kapuzineraffe,kapuzineraffe,29,younger,female
1104,165563.42403628118,giraffe,giraffe,29,younger,female
1104,166728.57142857142,pferd,pferd,29,younger,female
1104,179255.12471655328,husky,husky,29,younger,female
1104,182194.92063492065,meerschweinchen,meerschweinchen,29,younger,female
1104,183550.81632653065,hamster,hamster,29,younger,female
1104,186897.4149659864,ratte,ratte,29,younger,female
1104,188446.5986394558,maus,maus,29,younger,female
1104,191369.3424036281,goldhamster,goldhamster,29,younger,female
1104,197818.1179138322,stachelrochen,stachelrochen,29,younger,female
1104,202716.98412698417,laternenfisch,laternenfisch,29,younger,female
1104,209698.68480725624,steinfisch,steinfisch,29,younger,female
1104,211596.3492063492,scholle,scholle,29,younger,female
1104,221180.74829931973,clownfisch,clownfisch,29,younger,female
1104,224884.87528344672,papageienfisch,papageienfisch,29,younger,female
1104,232308.9569160998,thunfisch,thunfisch,29,younger,female
1104,237448.43537414965,haifisch,haifisch,29,younger,female
1104,239852.08616780044,hammerhai,hammerhai,29,younger,female
1104,254561.56462585033,gürteltier,gürteltier,29,younger,female
1104,260858.2086167801,stinktier,stinktier,29,younger,female
1104,271679.6145124717,bonoboaffe,bonoboaffe,29,younger,female
1104,278611.2925170068,frettchen,frettchen,29,younger,female
1104,288206.32653061225,degu,degu,29,younger,female
1104,291101.8594104308,chinchilla,chinchilla,29,younger,female
1104,303933.4013605442,feueraugenfisch,feueraugenfisch,29,younger,female
1104,317421.63265306124,langhaardackel,langhaardackel,29,younger,female
1104,324802.44897959183,fliegenfisch,fliegenfisch,29,younger,female
1104,334557.9138321996,regenbogenforelle,regenbogenforelle,29,younger,female
1104,341218.34467120183,karpfen,karpfen,29,younger,female
1104,349813.2426303855,piranha,piranha,29,younger,female
