participant;task;stimuli;stem;affix;fs;length;zipf;r;g;b;ld;congruency;correct;type;key;accuracy;rt
28;ld;rosazione;rosa;zione;1;9;4.458.329.649;255;0;255;5;1;2;0;2;2;534
28;ld;dottore;0;tore;3;7;5.216.434;255;255;0;0;2;1;1;1;1;557
28;ld;giallozione;giallo;zione;1;11;4.088.825.104;255;128;0;5;0;2;0;2;2;557
28;ld;arancionetore;arancione;tore;1;13;3.671.648.609;255;128;0;4;1;2;0;2;2;541
28;ld;bluiere;blu;iere;1;7;464.683.347;0;0;255;4;1;2;0;2;2;668
28;ld;biancotore;bianco;tore;1;10;4.744.381.459;255;255;255;4;1;2;0;2;2;558
28;ld;arancionoso;arancione;oso;0;11;3.671.648.609;255;255;255;3;0;2;0;2;2;501
28;ld;improbabile;0;abile;3;11;3.853.209;255;255;0;0;2;1;1;1;1;573
28;ld;verdiere;verde;iere;0;8;4.586.948.127;0;153;0;3;1;2;0;2;2;662
28;ld;biancoso;bianco;oso;2;8;4.744.381.459;255;255;255;2;1;2;0;2;2;565
28;ld;bluiere;blu;iere;1;7;464.683.347;255;0;255;4;0;2;0;2;2;452
28;ld;roseria;rosa;eria;0;7;4.458.329.649;255;0;255;3;1;2;0;2;2;716
28;ld;riconoscimento;0;mento;3;14;3.827.411;255;255;0;0;2;1;1;1;1;645
28;ld;investigatore;0;tore;3;13;399.267;255;128;0;0;2;1;1;1;1;636
28;ld;cambiamento;0;mento;3;11;4.248.779;0;153;0;0;2;1;1;1;1;821
28;ld;arancionezione;arancione;zione;1;14;3.671.648.609;255;128;0;5;1;2;0;2;2;565
28;ld;arancionezza;arancione;ezza;2;12;3.671.648.609;255;255;0;3;0;2;0;2;2;772
28;ld;arancionismo;arancione;ismo;0;12;3.671.648.609;255;128;0;4;1;2;0;2;2;565
28;ld;rosamento;rosa;mento;1;9;4.458.329.649;0;0;255;5;0;2;0;2;2;661
28;ld;blutore;blu;tore;1;7;464.683.347;255;128;0;4;0;2;0;2;2;885
28;ld;togliere;0;iere;3;8;4.328.594;0;153;0;0;2;1;1;1;1;677
