"participant_id","age","gender","trial_id","trial_order","stimulus","response"
"W14",59,"Male",188,7,"baby_steps",2
"W15",44,"Male",189,7,"baby_steps",4
"W13",52,"Female",190,7,"baby_steps",4
"W19",49,"Male",191,7,"baby_steps",6
"W7",40,"Male",192,7,"baby_steps",2
"W26",34,"Male",193,7,"baby_steps",7
"W8",44,"Female",194,7,"baby_steps",5
"W16",34,"Male",195,7,"baby_steps",7
"W22",50,"Female",196,7,"baby_steps",2
"W21",42,"Male",197,7,"baby_steps",4
"W11",47,"Male",198,7,"baby_steps",3
"W6",54,"Male",199,7,"baby_steps",3
"W12",37,"Female",200,7,"baby_steps",2
"W20",37,"Female",201,7,"baby_steps",2
"W5",35,"Female",202,7,"baby_steps",6
"W17",51,"Female",203,7,"baby_steps",3
"W25",43,"Male",204,7,"baby_steps",4
"W23",36,"Female",205,7,"baby_steps",5
"W3",65,"Female",206,7,"baby_steps",6
"W4",38,"Nonbinary",207,7,"baby_steps",4
"W9",57,"Female",208,7,"baby_steps",4
"W2",70,"Female",209,8,"bad_apple",1
"W18",37,"Male",210,8,"bad_apple",3
"W13",52,"Female",211,8,"bad_apple",3
"W9",57,"Female",212,8,"bad_apple",3
"W8",44,"Female",213,8,"bad_apple",5
"W10",69,"Female",214,8,"bad_apple",7
"W21",42,"Male",215,8,"bad_apple",7
"W17",51,"Female",216,8,"bad_apple",2
"W5",35,"Female",217,8,"bad_apple",6
"W25",43,"Male",218,8,"bad_apple",3
"W14",59,"Male",219,8,"bad_apple",4
"W3",65,"Female",220,8,"bad_apple",7
"W16",34,"Male",221,8,"bad_apple",3
"W19",49,"Male",222,8,"bad_apple",5
"W11",47,"Male",223,8,"bad_apple",3
"W4",38,"Nonbinary",224,8,"bad_apple",1
"W20",37,"Female",225,8,"bad_apple",2
"W24",41,"Female",226,8,"bad_apple",7
"W1",50,"Female",227,8,"bad_apple",1
"W15",44,"Male",228,8,"bad_apple",1
"W23",36,"Female",229,8,"bad_apple",1
"W22",50,"Female",230,8,"bad_apple",1
"W6",54,"Male",231,8,"bad_apple",3
"W26",34,"Male",232,8,"bad_apple",7
"W12",37,"Female",233,8,"bad_apple",3
"W7",40,"Male",234,8,"bad_apple",1
"W8",44,"Female",235,9,"bad_blood",3
"W18",37,"Male",236,9,"bad_blood",2
"W9",57,"Female",237,9,"bad_blood",5
"W15",44,"Male",238,9,"bad_blood",2
"W14",59,"Male",239,9,"bad_blood",4
"W11",47,"Male",240,9,"bad_blood",2
"W25",43,"Male",241,9,"bad_blood",2
"W16",34,"Male",242,9,"bad_blood",3
"W23",36,"Female",243,9,"bad_blood",4
"W22",50,"Female",244,9,"bad_blood",1
"W20",37,"Female",245,9,"bad_blood",2
"W24",41,"Female",246,9,"bad_blood",6
"W4",38,"Nonbinary",247,9,"bad_blood",2
"W21",42,"Male",248,9,"bad_blood",6
"W2",70,"Female",249,9,"bad_blood",3
"W1",50,"Female",250,9,"bad_blood",1
"W6",54,"Male",251,9,"bad_blood",3
"W26",34,"Male",252,9,"bad_blood",7
"W17",51,"Female",253,9,"bad_blood",2
"W19",49,"Male",254,9,"bad_blood",4
"W5",35,"Female",255,9,"bad_blood",6
"W7",40,"Male",256,9,"bad_blood",1
"W10",69,"Female",257,9,"bad_blood",6
"W3",65,"Female",258,9,"bad_blood",6
"W13",52,"Female",259,9,"bad_blood",1
"W12",37,"Female",260,9,"bad_blood",1
"W2",70,"Female",261,10,"bad_egg",2
"W18",37,"Male",262,10,"bad_egg",2
"W26",34,"Male",263,10,"bad_egg",7
"W3",65,"Female",264,10,"bad_egg",7
"W1",50,"Female",265,10,"bad_egg",1
"W17",51,"Female",266,10,"bad_egg",4
"W12",37,"Female",267,10,"bad_egg",4
"W11",47,"Male",268,10,"bad_egg",5
"W24",41,"Female",269,10,"bad_egg",7
"W7",40,"Male",270,10,"bad_egg",1
"W16",34,"Male",271,10,"bad_egg",3
"W14",59,"Male",272,10,"bad_egg",3
"W8",44,"Female",273,10,"bad_egg",3
"W21",42,"Male",274,10,"bad_egg",7
"W20",37,"Female",275,10,"bad_egg",7
"W22",50,"Female",276,10,"bad_egg",1
"W13",52,"Female",277,10,"bad_egg",4
"W5",35,"Female",278,10,"bad_egg",6
"W10",69,"Female",279,10,"bad_egg",6
"W19",49,"Male",280,10,"bad_egg",2
"W25",43,"Male",281,10,"bad_egg",3
"W23",36,"Female",282,10,"bad_egg",4
"W15",44,"Male",283,10,"bad_egg",1
"W4",38,"Nonbinary",284,10,"bad_egg",1
"W9",57,"Female",285,10,"bad_egg",1
"W6",54,"Male",286,10,"bad_egg",3
"W1",50,"Female",287,11,"bad_seed",1
"W19",49,"Male",288,11,"bad_seed",3
"W15",44,"Male",289,11,"bad_seed",1
"W21",42,"Male",290,11,"bad_seed",4
"W11",47,"Male",291,11,"bad_seed",2
"W3",65,"Female",292,11,"bad_seed",7
"W13",52,"Female",293,11,"bad_seed",2
"W12",37,"Female",294,11,"bad_seed",4
"W6",54,"Male",295,11,"bad_seed",3
"W25",43,"Male",296,11,"bad_seed",3
"W9",57,"Female",297,11,"bad_seed",4
"W7",40,"Male",298,11,"bad_seed",1
"W14",59,"Male",299,11,"bad_seed",4
"W18",37,"Male",300,11,"bad_seed",1
"W16",34,"Male",301,11,"bad_seed",3
"W24",41,"Female",302,11,"bad_seed",6
"W5",35,"Female",303,11,"bad_seed",7
"W4",38,"Nonbinary",304,11,"bad_seed",2
"W10",69,"Female",305,11,"bad_seed",4
"W23",36,"Female",306,11,"bad_seed",4
"W17",51,"Female",307,11,"bad_seed",4
"W26",34,"Male",308,11,"bad_seed",7
"W20",37,"Female",309,11,"bad_seed",2
"W2",70,"Female",310,11,"bad_seed",2
"W22",50,"Female",311,11,"bad_seed",1
"W8",44,"Female",312,11,"bad_seed",3
"W9",57,"Female",313,12,"ballpark_figure",2
"W11",47,"Male",314,12,"ballpark_figure",3
"W2",70,"Female",315,12,"ballpark_figure",1
"W5",35,"Female",316,12,"ballpark_figure",6
"W19",49,"Male",317,12,"ballpark_figure",5
"W13",52,"Female",318,12,"ballpark_figure",1
"W1",50,"Female",319,12,"ballpark_figure",2
"W25",43,"Male",320,12,"ballpark_figure",3
"W6",54,"Male",321,12,"ballpark_figure",3
"W20",37,"Female",322,12,"ballpark_figure",6
"W18",37,"Male",323,12,"ballpark_figure",4
"W17",51,"Female",324,12,"ballpark_figure",1
"W14",59,"Male",325,12,"ballpark_figure",6
"W22",50,"Female",326,12,"ballpark_figure",1
"W12",37,"Female",327,12,"ballpark_figure",1
"W23",36,"Female",328,12,"ballpark_figure",2
"W8",44,"Female",329,12,"ballpark_figure",3
"W15",44,"Male",330,12,"ballpark_figure",5
"W10",69,"Female",331,12,"ballpark_figure",6
"W4",38,"Nonbinary",332,12,"ballpark_figure",4
"W16",34,"Male",333,12,"ballpark_figure",3
"W21",42,"Male",334,12,"ballpark_figure",6
"W24",41,"Female",335,12,"ballpark_figure",6
"W26",34,"Male",336,12,"ballpark_figure",2
"W3",65,"Female",337,12,"ballpark_figure",7
"W7",40,"Male",338,12,"ballpark_figure",1
"W9",57,"Female",339,13,"bare_bones",4
"W21",42,"Male",340,13,"bare_bones",4
"W2",70,"Female",341,13,"bare_bones",2
"W18",37,"Male",342,13,"bare_bones",3
"W4",38,"Nonbinary",343,13,"bare_bones",4
"W3",65,"Female",344,13,"bare_bones",3
"W19",49,"Male",345,13,"bare_bones",4
"W15",44,"Male",346,13,"bare_bones",2
"W8",44,"Female",347,13,"bare_bones",3
"W5",35,"Female",348,13,"bare_bones",5
"W17",51,"Female",349,13,"bare_bones",2
"W10",69,"Female",350,13,"bare_bones",5
"W6",54,"Male",351,13,"bare_bones",3
"W20",37,"Female",352,13,"bare_bones",2
"W13",52,"Female",353,13,"bare_bones",4
"W16",34,"Male",354,13,"bare_bones",3
"W1",50,"Female",355,13,"bare_bones",5
"W7",40,"Male",356,13,"bare_bones",1
"W26",34,"Male",357,13,"bare_bones",4
"W14",59,"Male",358,13,"bare_bones",2
"W11",47,"Male",359,13,"bare_bones",4
"W12",37,"Female",360,13,"bare_bones",3
"W24",41,"Female",361,13,"bare_bones",6
"W22",50,"Female",362,13,"bare_bones",1
"W25",43,"Male",363,13,"bare_bones",3
"W23",36,"Female",364,13,"bare_bones",3
"W15",44,"Male",365,14,"bat_wings",6
"W19",49,"Male",366,14,"bat_wings",6
"W14",59,"Male",367,14,"bat_wings",6
"W24",41,"Female",368,14,"bat_wings",4
"W26",34,"Male",369,14,"bat_wings",6
"W25",43,"Male",370,14,"bat_wings",6
"W5",35,"Female",371,14,"bat_wings",5
"W10",69,"Female",372,14,"bat_wings",4
"W1",50,"Female",373,14,"bat_wings",7
"W7",40,"Male",374,14,"bat_wings",6
