Ps.number,Cue.number,Response.number,cues,Response,RT,Response_singular.x,Response_spelling,Minkowski.3.distance.n_cue,Mink3.overlap.n_cue,Response_finalAmE,Response_finalBrE,n_1,n_1_sing,Mink3.dist.n_1,Mink3.overlap.n_1,n_2,n_2_sing,Mink3.dist.n_2,Mink3.overlap.n_2,n_3,n_3_sing,Mink3.dist.n_3,Mink3.overlap.n_3,n_4,n_4_sing,Mink3.dist.n_4,Mink3.overlap.n_4,n_5,n_5_sing,Mink3.dist.n_5,Mink3.overlap.n_5,PPMI.n_cue,n_1_BrE,PPMI.n_1,n_2_BrE,PPMI.n_2,n_3_BrE,PPMI.n_3,n_4_BrE,PPMI.n_4,n_5_BrE,PPMI.n_5,PPMI.max,PPMI.max.which,Mink3.max,Mink3.max.which,PPMI.max.which2,Mink3.max.which2,logRT,PPMI.source,Mink3.source,Mink.max_nocue,PPMI.max_nocue,ZipfUK
8,31,11,SLAUGHTER,PAIN,266,PAIN,NA,4.273627717,6.846372283,PAIN,PAIN,HURT,HURT,1.807438719,9.312561281,MURDER,MURDER,4.026887271,7.093112729,KILL,KILL,4.646100774,6.473899226,DEATH,DEATH,2.851235427,8.268764573,COWS,COW,5.770219063,5.349780937,1.683487825,HURT,3.366356823,MURDER,0,KILL,1.398306349,DEATH,1.935718279,COWS,0,3.366356823,2,9.312561281,2,n-1,n-1,2.424881637,1,1,1,1,4.85
12,31,11,SLAUGHTER,CRUEL,2980,CRUEL,NA,2.269686013,8.850313987,CRUEL,CRUEL,DEATH,DEATH,2.179002146,8.940997854,HOMICIDE,HOMICIDE,2.052278733,9.067721267,CRIME,CRIME,1.464627017,9.655372983,MURDERER,MURDERER,1.304762806,9.815237194,FARMING,FARMING,2.302192042,8.817807958,5.447397221,DEATH,1.772837522,HOMICIDE,0,CRIME,2.145265363,MURDERER,0,FARMING,0,5.447397221,1,9.815237194,5,n-cue,n-4,3.474216264,0,1,4,3,4.11
13,31,11,SLAUGHTER,DVD,1861,DVD,DVD,NA,NA,DVD,DVD,FILMS,FILM,NA,NA,HORROR,HORROR,NA,NA,HALLOWEEN,HALLOWEEN,NA,NA,HOUSE,HOUSE,NA,NA,KILL,KILL,NA,NA,0,FILMS,4.27142433,HORROR,3.004468676,HALLOWEEN,0,HOUSE,0.282585134,KILL,0,4.27142433,2,NA,NA,n-1,NA,3.269746373,1,NA,NA,1,3.94
15,31,11,SLAUGHTER,GUTS,1386.6,GUT,NA,3.764113221,7.355886779,GUTS,GUTS,BLOOD,BLOOD,3.669590535,7.450409465,CLEAVER,CLEAVER,4.201887094,6.918112906,ABITOIRE,ABITOIRE,NA,NA,MEAT,MEAT,5.817327438,5.302672562,SERGEANT,SERGANT,3.667543792,7.452456208,0,BLOOD,6.232920504,CLEAVER,0,ABITOIRE,NA,MEAT,1.968484685,SERGEANT,0,6.232920504,2,7.452456208,6,n-1,n-5,3.141951196,1,1,5,1,3.92
22,31,11,SLAUGHTER,PAIN,3837.3,PAIN,NA,4.273627717,6.846372283,PAIN,PAIN,MURDER,MURDER,4.026887271,7.093112729,SAD,SAD,3.865770559,7.254229441,UNFAIR,UNFAIR,5.599247863,5.520752137,LIVESTOCK,LIVESTOCK,5.364664237,5.755335763,COWS,COW,5.770219063,5.349780937,1.683487825,MURDER,0,SAD,0,UNFAIR,0,LIVESTOCK,0.360603564,COWS,0,1.683487825,1,7.254229441,3,n-cue,n-2,3.584025754,0,1,2,4,4.85
23,31,11,SLAUGHTER,HOUSE,1357.8,HOUSE,NA,2.166617041,8.953382959,HOUSE,HOUSE,PIG,PIG,3.382034309,7.737965691,COWS,COW,3.265931542,7.854068458,SHEEP,SHEEP,3.376947185,7.743052815,TERRORIST,TERRIOIST,2.940584239,8.179415761,MEAT,MEAT,5.452916867,5.667083133,1.329358146,PIG,0.365225625,COWS,0,SHEEP,0,TERRORIST,0,MEAT,0,1.329358146,1,8.953382959,1,n-cue,n-cue,3.132835804,0,0,4,1,5.83
30,31,11,SLAUGHTER,KNIFE,7084.2,KNIFE,NA,2.679458356,8.440541644,KNIFE,KNIFE,MURDERER,MURDERER,3.178101078,7.941898922,SLASH,SLASHER,2.162313267,8.957686733,CRUEL,CRUEL,3.525419863,7.594580137,FACTORY,FACTORY,3.374990653,7.745009347,HOUSE,HOUSE,2.806570327,8.313429673,1.904511984,MURDERER,2.541410623,SLASH,4.84160665,CRUEL,0.389779406,FACTORY,0,HOUSE,0,4.84160665,3,8.957686733,3,n-2,n-2,3.850290814,1,1,2,2,4.49
33,31,11,SLAUGHTER,REMOVE,4392.2,REMOVE,NA,1.716362105,9.403637895,REMOVE,REMOVE,KNIFE,KNIVE,2.151276746,8.968723254,CUT,CUT,1.794247495,9.325752505,HANG,HANG,1.35740047,9.76259953,BLOOD,BLOOD,2.500432793,8.619567207,MURDER,MURDER,1.843618961,9.276381039,0,KNIFE,2.454304263,CUT,1.413384642,HANG,0,BLOOD,1.900409186,MURDER,0,2.454304263,2,9.76259953,4,n-1,n-3,3.642682108,1,1,3,1,4.44
39,31,11,SLAUGHTER,CRUEL,7254.7,CRUEL,NA,2.269686013,8.850313987,CRUEL,CRUEL,BUTCHER,BUTCHER,2.022305986,9.097694014,MURDER,MURDER,1.965289845,9.154710155,BLOOD,BLOOD,3.346723835,7.773276165,SADNESS,SADNES,2.945639535,8.174360465,SCREAM,SCREAM,2.907112614,8.212887386,5.447397221,BUTCHER,1.816672545,MURDER,1.645318284,BLOOD,0,SADNESS,0,SCREAM,0,5.447397221,1,9.154710155,3,n-cue,n-2,3.860619458,0,1,2,1,4.11
1,32,11,SPANK,WHIP,1124.6,WHIP,NA,1.824825592,9.295174408,WHIP,WHIP,LEATHER,LEATHER,3.208538907,7.911461093,GAMES,GAME,2.511415188,8.608584812,ABUSE,ABUSE,2.874699189,8.245300811,BLOW,BLOW,3.879845247,7.240154753,PUNCH,PUNCH,2.463434618,8.656565382,0,LEATHER,3.94919267,GAMES,0,ABUSE,2.193097708,BLOW,0,PUNCH,0,3.94919267,2,9.295174408,1,n-1,n-cue,3.050998079,1,0,5,1,4.08
