Concept_NO,Image_NO,Concept,Concept_Image,URL,Attribution
10,37,goose,1,https://commons.wikimedia.org/wiki/File:Domestic_Goose.jpg,"Noodle snacks (https://commons.wikimedia.org/wiki/File:Domestic_Goose.jpg), „Domestic Goose“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
10,38,goose,2,https://commons.wikimedia.org/wiki/File:Anser_anser_1.jpg,"Tony Hisgett from Birmingham, UK (https://commons.wikimedia.org/wiki/File:Anser_anser_1.jpg), „Anser anser 1“, background removed by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
10,39,goose,3,https://commons.wikimedia.org/wiki/File:Anser_anser_(cropped).jpg,"Diliff (https://commons.wikimedia.org/wiki/File:Anser_anser_(cropped).jpg), „Anser anser (cropped)“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
10,40,goose,4,https://commons.wikimedia.org/wiki/File:Gans_8285952.jpg,"Reinhold Möller (https://commons.wikimedia.org/wiki/File:Gans_8285952.jpg), background removed by RvH, https://creativecommons.org/licenses/by-sa/4.0/legalcode"
11,41,chihuahua,1,https://commons.wikimedia.org/wiki/File:Chihuahua_dog.jpg ,in public domain
11,42,chihuahua,2,https://commons.wikimedia.org/wiki/File:Chihuahua_sitting.jpg,"sirraychen (https://commons.wikimedia.org/wiki/File:Chihuahua_sitting.jpg), „Chihuahua sitting“, background removed by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
11,43,chihuahua,3,https://commons.wikimedia.org/wiki/File:Chihuahua_01_K.jpg,"I, Lilly M (https://commons.wikimedia.org/wiki/File:Chihuahua_01_K.jpg), „Chihuahua 01 K“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
11,44,chihuahua,4,https://commons.wikimedia.org/wiki/File:Standard_razza_chihuahua.jpg,in public domain
12,45,beagle,1,https://commons.wikimedia.org/wiki/File:Beagle_Faraon.JPG,"Taz80 / SEDIRI Eddy (https://commons.wikimedia.org/wiki/File:Beagle_Faraon.JPG), „Beagle Faraon“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
12,46,beagle,2,https://commons.wikimedia.org/wiki/File:Beagle_1.jpg,"Arcalexx (https://commons.wikimedia.org/wiki/File:Beagle_1.jpg), „Beagle 1“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
